row_id,host_openalex_id,matched_name,method
191,I145872427,Radboud University Nijmegen,exact
192,,,
193,I149899117,Max Planck Society,exact
194,I1294671590,Centre National de la Recherche Scientifique,fuzzy
195,I53964585,Weizmann Institute of Science,fuzzy
196,I157556583,Institute of Science and Technology Austria,exact
197,,,
198,I124055696,University of Copenhagen,exact
199,I124055696,University of Copenhagen,exact
200,I53964585,Weizmann Institute of Science,fuzzy
201,I162608824,University of Sussex,exact
202,I124055696,University of Copenhagen,exact
203,,,
204,I4210122345,Institute for Research in Biomedicine,fuzzy
205,I53964585,Weizmann Institute of Science,fuzzy
206,,,
207,I40120149,University of Oxford,exact
208,I860889466,Friedrich Miescher Institute,exact
209,I241749,University of Cambridge,exact
210,,,
211,I28166907,Karolinska Institutet,exact
212,I17937529,German Cancer Research Center,exact
213,I4210138103,"Czech Academy of Sciences, Institute of Molecular Genetics",exact
214,I124055696,University of Copenhagen,exact
215,I47508984,Imperial College London,fuzzy
216,I195525897,Research Institute of Molecular Pathology,fuzzy
217,,,
218,I1294671590,Centre National de la Recherche Scientifique,fuzzy
219,I53964585,Weizmann Institute of Science,fuzzy
220,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
221,I193223587,University of Trento,exact
222,,,
223,I4210089594,Spanish National Cancer Research Centre,exact
224,,,
225,I2800006345,Leiden University Medical Center,exact
226,I80043,Institut Curie,fuzzy
227,I80043,Institut Curie,fuzzy
228,I53964585,Weizmann Institute of Science,fuzzy
229,I40120149,University of Oxford,exact
230,I4210137962,Centre for Genomic Regulation,exact
231,I75951250,Freie Universität Berlin,exact
232,I1294671590,Centre National de la Recherche Scientifique,fuzzy
233,I123387679,Uppsala University,exact
234,I4210122345,Institute for Research in Biomedicine,fuzzy
235,I1294671590,Centre National de la Recherche Scientifique,fuzzy
236,I53964585,Weizmann Institute of Science,fuzzy
237,I277688954,Université Paris-Saclay,exact
238,I133731052,University of Helsinki,exact
239,I56085075,University of Tartu,exact
240,,,
241,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact
242,I157556583,Institute of Science and Technology Austria,exact
243,I53964585,Weizmann Institute of Science,fuzzy
244,I4210148920,Danish Cancer Society,exact
245,I193662353,Utrecht University,exact
246,I1294671590,Centre National de la Recherche Scientifique,fuzzy
247,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
248,I2801240073,University Medical Center Freiburg,exact
249,,,
250,I124227911,Ben-Gurion University of the Negev,exact
251,I98358874,Delft University of Technology,exact
252,I1294671590,Centre National de la Recherche Scientifique,fuzzy
253,I150540706,University of Veterinary Medicine Vienna,fuzzy
254,I124055696,University of Copenhagen,exact
255,I4210153543,European Molecular Biology Laboratory,fuzzy
256,I4210156025,"Czech Academy of Sciences, Institute of Experimental Botany",fuzzy
257,,,
258,I4210137962,Centre for Genomic Regulation,exact
259,I62916508,Technical University of Munich,exact
260,I1294671590,Centre National de la Recherche Scientifique,fuzzy
261,I4210089592,Josep Carreras Leukaemia Research Institute,exact
262,I4210110463,Leibniz Institute of Plant Biochemistry,exact
263,I157536573,Institut Pasteur,exact
264,I149899117,Max Planck Society,exact
265,I197251160,Hebrew University of Jerusalem,exact
266,I28166907,Karolinska Institutet,exact
267,I195525897,Research Institute of Molecular Pathology,fuzzy
268,I133731052,University of Helsinki,exact
269,I1294671590,Centre National de la Recherche Scientifique,fuzzy
270,I4210164740,"Czech Academy of Sciences, Biology Centre",exact
271,I149899117,Max Planck Society,exact
272,,,
273,I157556583,Institute of Science and Technology Austria,exact
274,I223822909,Heidelberg University,fuzzy
275,I114090438,Goethe University Frankfurt,fuzzy
276,,,
277,I2802805223,Calouste Gulbenkian Foundation,exact
278,I189158943,University of Milan,exact
279,I205582932,Max Delbrück Center,exact
280,I97565354,University of Lausanne,exact
281,I1294671590,Centre National de la Recherche Scientifique,fuzzy
282,,,
283,I189712700,University of Konstanz,exact
284,I98677209,University of Edinburgh,exact
285,I4210153543,European Molecular Biology Laboratory,fuzzy
286,,,
287,I202697423,University of Zurich,exact
288,I157536573,Institut Pasteur,exact
289,I53964585,Weizmann Institute of Science,fuzzy
290,,,
291,I193662353,Utrecht University,exact
292,I241749,University of Cambridge,exact
293,I1294671590,Centre National de la Recherche Scientifique,fuzzy
294,I133731052,University of Helsinki,exact
295,,,
296,I241749,University of Cambridge,exact
297,I40120149,University of Oxford,exact
298,I149899117,Max Planck Society,exact
299,I4387154544,Institut National de la Recherche Agronomique,exact
300,I157536573,Institut Pasteur,exact
301,I1294671590,Centre National de la Recherche Scientifique,fuzzy
302,I4210127611,CeMM Research Center for Molecular Medicine,fuzzy
303,I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,fuzzy
304,I241749,University of Cambridge,exact
305,I74656192,University of Göttingen,exact
306,I17937529,German Cancer Research Center,exact
307,I133731052,University of Helsinki,exact
308,I17937529,German Cancer Research Center,exact
309,I80043,Institut Curie,fuzzy
310,I189158943,University of Milan,exact
311,I157556583,Institute of Science and Technology Austria,exact
312,I4210164740,"Czech Academy of Sciences, Biology Centre",exact
313,,,
314,I98677209,University of Edinburgh,exact
315,,,
316,I97565354,University of Lausanne,exact
317,I2802805223,Calouste Gulbenkian Foundation,exact
318,I183935753,King's College London,exact
319,,,
320,I16391192,Tel Aviv University,exact
321,I32597200,Ghent University,exact
322,I202697423,University of Zurich,exact
323,,,
324,I129774422,University of Vienna,exact
325,I180437899,University of Bremen,exact
326,I1294671590,Centre National de la Recherche Scientifique,fuzzy
327,I45129253,University College London,exact
328,,,
329,I53964585,Weizmann Institute of Science,fuzzy
330,I223822909,Heidelberg University,fuzzy
331,I4210086872,Institut de génétique et de biologie moléculaire et cellulaire,fuzzy
332,I149899117,Max Planck Society,exact
333,I149899117,Max Planck Society,exact
334,I150540706,University of Veterinary Medicine Vienna,fuzzy
335,I2801081054,The Francis Crick Institute,fuzzy
336,I155660961,University of Turku,exact
337,I113358080,Champalimaud Foundation,exact
338,I97565354,University of Lausanne,exact
339,I40120149,University of Oxford,exact
340,,,
341,I4387154544,Institut National de la Recherche Agronomique,exact
342,I193662353,Utrecht University,exact
343,,,
344,I4210089594,Spanish National Cancer Research Centre,exact
345,I53964585,Weizmann Institute of Science,fuzzy
346,I4210147769,Institute for Bioengineering of Catalonia,exact
347,I202697423,University of Zurich,exact
348,I241749,University of Cambridge,exact
349,I35440088,ETH Zurich,fuzzy
350,I202697423,University of Zurich,exact
351,,,
352,,,
353,I56085075,University of Tartu,exact
354,I133731052,University of Helsinki,exact
355,I28166907,Karolinska Institutet,exact
356,I149899117,Max Planck Society,exact
357,I17937529,German Cancer Research Center,exact
358,I4210122345,Institute for Research in Biomedicine,fuzzy
359,I1294671590,Centre National de la Recherche Scientifique,fuzzy
360,,,
361,,,
362,,,
363,I881427289,University of Gothenburg,exact
364,I124055696,University of Copenhagen,exact
365,I53964585,Weizmann Institute of Science,fuzzy
366,I17937529,German Cancer Research Center,exact
367,I4210101141,Luxembourg Institute of Health,exact
368,I154387261,Vita-Salute San Raffaele University,exact
369,I196349391,Universität Ulm,exact
370,I25974101,University of Würzburg,exact
371,I1334415907,University Medical Center Groningen,exact
372,,,
373,I4405252639,Gulbenkian Institute for Molecular Medicine,fuzzy
374,I8087733,University of Tübingen,exact
375,,,
376,I4210120689,Universitätsklinikum Aachen,exact
377,,,
378,I195525897,Research Institute of Molecular Pathology,fuzzy
379,,,
380,I62916508,Technical University of Munich,exact
381,I124055696,University of Copenhagen,exact
382,,,
383,,,
384,I205274468,Trinity College Dublin,exact
385,I16391192,Tel Aviv University,exact
386,I32021983,Christian-Albrechts-Universität zu Kiel,fuzzy
387,I71267560,University of Naples Federico II,exact
388,I53964585,Weizmann Institute of Science,fuzzy
389,I17937529,German Cancer Research Center,exact
390,,,
391,I124055696,University of Copenhagen,exact
392,,,
393,I39804081,Sorbonne Université,exact
394,,,
395,,,
396,I4210120689,Universitätsklinikum Aachen,exact
397,,,
398,I2809107791,Spanish National Centre for Cardiovascular Research,fuzzy
399,I124055696,University of Copenhagen,exact
400,I13955877,Bar-Ilan University,exact
401,I138689650,University of Padua,exact
402,,,
403,I4210088053,Universitätsklinikum Erlangen,exact
404,I204730241,Université Paris Cité,exact
405,I2809107791,Spanish National Centre for Cardiovascular Research,fuzzy
406,I4210087039,Institut d'Investigació Biomédica de Bellvitge,fuzzy
407,I35440088,ETH Zurich,fuzzy
408,,,
409,I4210089594,Spanish National Cancer Research Centre,exact
410,,,
411,I204337017,Aarhus University,exact
412,I8087733,University of Tübingen,exact
413,I28166907,Karolinska Institutet,exact
414,I2799391451,University Hospital Bonn,exact
415,I124055696,University of Copenhagen,exact
416,I2802164966,University Hospital Heidelberg,fuzzy
417,I200763008,Justus-Liebig-Universität Gießen,exact
418,I205274468,Trinity College Dublin,exact
419,,,
420,I99464096,KU Leuven,exact
421,,,
422,I133836048,Royal Veterinary College,exact
423,I114457229,University of Geneva,exact
424,I53964585,Weizmann Institute of Science,fuzzy
425,,,
426,I4210153755,University Hospital Cologne,exact
427,,,
428,I241749,University of Cambridge,exact
429,,,
430,I118564535,University of Bern,exact
431,I53964585,Weizmann Institute of Science,fuzzy
432,I133731052,University of Helsinki,exact
433,I28407311,University of Manchester,exact
434,,,
435,I149213910,University of Antwerp,exact
436,,,
437,I174306211,Technion – Israel Institute of Technology,exact
438,,,
439,I95674353,UCLouvain,fuzzy
440,,,
441,,,
442,I40120149,University of Oxford,exact
443,,,
444,,,
445,,,
446,I197251160,Hebrew University of Jerusalem,exact
447,,,
448,,,
449,I2802934949,Radboud University Medical Center,exact
450,I40120149,University of Oxford,exact
451,I16391192,Tel Aviv University,exact
452,I2801081054,The Francis Crick Institute,fuzzy
453,,,
454,,,
455,,,
456,I149899117,Max Planck Society,exact
457,I47508984,Imperial College London,fuzzy
458,I17937529,German Cancer Research Center,exact
459,I4210130481,Foundation for the Research and Cure of Lymphoma in Ticino,exact
460,I124055696,University of Copenhagen,exact
461,I4210089594,Spanish National Cancer Research Centre,exact
462,I1334415907,University Medical Center Groningen,exact
463,I197251160,Hebrew University of Jerusalem,exact
464,I2898336195,The Netherlands Cancer Institute,exact
465,I184942183,University of Oslo,exact
466,I8087733,University of Tübingen,exact
467,I8901234,Foundation for Research and Technology Hellas,exact
468,I241749,University of Cambridge,exact
469,,,
470,I4210089592,Josep Carreras Leukaemia Research Institute,exact
471,I2802805223,Calouste Gulbenkian Foundation,exact
472,I34809795,Medizinische Hochschule Hannover,exact
473,I123387679,Uppsala University,exact
474,I1294671590,Centre National de la Recherche Scientifique,fuzzy
475,,,
476,I157536573,Institut Pasteur,exact
477,I138689650,University of Padua,exact
478,I45084792,University of Florence,exact
479,I2809107791,Spanish National Centre for Cardiovascular Research,fuzzy
480,I98677209,University of Edinburgh,exact
481,,,
482,I145872427,Radboud University Nijmegen,exact
483,I4210108711,University Medical Center Hamburg-Eppendorf,exact
484,I4405267316,German Center for Neurodegenerative Diseases (DZNE) Dresden,fuzzy
485,I187531555,Lund University,exact
486,I114457229,University of Geneva,exact
487,I881427289,University of Gothenburg,exact
488,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact
489,I53964585,Weizmann Institute of Science,fuzzy
490,I1850255,University of Basel,exact
491,,,
492,,,
493,I2801081054,The Francis Crick Institute,fuzzy
494,,,
495,I2801081054,The Francis Crick Institute,fuzzy
496,,,
497,I91712215,Saarland University,exact
498,I21491767,Aix-Marseille Université,exact
499,,,
500,I88155538,Universidad de Navarra,exact
501,I40120149,University of Oxford,exact
502,I1850255,University of Basel,exact
503,I45129253,University College London,exact
504,I45129253,University College London,exact
505,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
506,I99464096,KU Leuven,exact
507,I113358080,Champalimaud Foundation,exact
508,I2801952686,Erasmus MC,exact
509,I4405267316,German Center for Neurodegenerative Diseases (DZNE) Dresden,fuzzy
510,,,
511,I53964585,Weizmann Institute of Science,fuzzy
512,I62916508,Technical University of Munich,exact
513,,,
514,I4210100306,Achucarro Basque Center for Neuroscience,exact
515,I47508984,Imperial College London,fuzzy
516,I926574661,Leipzig University,fuzzy
517,I53964585,Weizmann Institute of Science,fuzzy
518,,,
519,,,
520,I74656192,University of Göttingen,exact
521,I30771326,Italian Institute of Technology,exact
522,I4405267316,German Center for Neurodegenerative Diseases (DZNE) Dresden,fuzzy
523,I100532134,Université Claude Bernard Lyon 1,fuzzy
524,I149899117,Max Planck Society,exact
525,I149899117,Max Planck Society,exact
526,I181369854,Friedrich-Alexander-Universität Erlangen-Nürnberg,exact
527,,,
528,I197251160,Hebrew University of Jerusalem,exact
529,I197251160,Hebrew University of Jerusalem,exact
530,I8087733,University of Tübingen,exact
531,I123044942,Universitat Autònoma de Barcelona,exact
532,I113358080,Champalimaud Foundation,exact
533,I16391192,Tel Aviv University,exact
534,I157556583,Institute of Science and Technology Austria,exact
535,I149899117,Max Planck Society,exact
536,I16391192,Tel Aviv University,exact
537,I172446870,University of Cagliari,exact
538,,,
539,I1294671590,Centre National de la Recherche Scientifique,fuzzy
540,,,
541,I4210100306,Achucarro Basque Center for Neuroscience,exact
542,,,
543,,,
544,,,
545,I187531555,Lund University,exact
546,,,
547,,,
548,I175532246,University of Eastern Finland,exact
549,I1294671590,Centre National de la Recherche Scientifique,fuzzy
550,I4432739,University of Bergen,exact
551,I124055696,University of Copenhagen,exact
552,I157556583,Institute of Science and Technology Austria,exact
553,,,
554,I16835326,University of St Andrews,exact
555,I53964585,Weizmann Institute of Science,fuzzy
556,I124601658,University of Parma,exact
557,,,
558,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
559,I86987016,KTH Royal Institute of Technology,fuzzy
560,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
561,,,
562,I34352273,Maastricht University,exact
563,I99682543,University of Minho,exact
564,,,
565,I860889466,Friedrich Miescher Institute,exact
566,I45129253,University College London,exact
567,,,
568,I904495901,Ruhr University Bochum,fuzzy
569,I113358080,Champalimaud Foundation,exact
570,I4405267316,German Center for Neurodegenerative Diseases (DZNE) Dresden,fuzzy
571,I200284239,Universidade de Santiago de Compostela,exact
572,,,
573,I926574661,Leipzig University,fuzzy
574,I114457229,University of Geneva,exact
575,I98677209,University of Edinburgh,exact
576,I113358080,Champalimaud Foundation,exact
577,I45129253,University College London,exact
578,I35440088,ETH Zurich,fuzzy
579,I241749,University of Cambridge,exact
580,I2802805223,Calouste Gulbenkian Foundation,exact
581,,,
582,I53964585,Weizmann Institute of Science,fuzzy
583,,,
584,I157556583,Institute of Science and Technology Austria,exact
585,I2802164966,University Hospital Heidelberg,fuzzy
586,I1294671590,Centre National de la Recherche Scientifique,fuzzy
587,I197251160,Hebrew University of Jerusalem,exact
588,I145872427,Radboud University Nijmegen,exact
589,,,
590,I1294671590,Centre National de la Recherche Scientifique,fuzzy
591,I45129253,University College London,exact
592,I113358080,Champalimaud Foundation,exact
593,I4210153755,University Hospital Cologne,exact
594,I241749,University of Cambridge,exact
595,,,
596,I113358080,Champalimaud Foundation,exact
597,I138898306,Reichman University,exact
598,I45129253,University College London,exact
599,I113358080,Champalimaud Foundation,exact
600,,,
601,I118564535,University of Bern,exact
602,I183935753,King's College London,exact
603,I30771326,Italian Institute of Technology,exact
604,I53964585,Weizmann Institute of Science,fuzzy
605,I157556583,Institute of Science and Technology Austria,exact
606,I16391192,Tel Aviv University,exact
607,,,
608,I1294671590,Centre National de la Recherche Scientifique,fuzzy
609,I118564535,University of Bern,exact
610,,,
611,I96578850,Leibniz Institute for Neurobiology,exact
612,I1294671590,Centre National de la Recherche Scientifique,fuzzy
613,I205582932,Max Delbrück Center,exact
614,,,
615,I98677209,University of Edinburgh,exact
616,,,
617,I1294671590,Centre National de la Recherche Scientifique,fuzzy
618,,,
619,I118564535,University of Bern,exact
620,,,
621,I5124864,École Polytechnique Fédérale de Lausanne,fuzzy
622,I53964585,Weizmann Institute of Science,fuzzy
623,,,
624,I4210108711,University Medical Center Hamburg-Eppendorf,exact
625,I79510175,Cardiff University,exact
626,,,
627,I197251160,Hebrew University of Jerusalem,exact
628,I39804081,Sorbonne Université,exact
629,I45129253,University College London,exact
630,I45129253,University College London,exact
631,I4405267316,German Center for Neurodegenerative Diseases (DZNE) Dresden,fuzzy
632,I20121455,Bielefeld University,fuzzy
633,,,
634,,,
635,I861853513,Sapienza University of Rome,exact
636,I62916508,Technical University of Munich,exact
637,I158438070,Universidad de La Laguna,exact
638,,,
639,,,
640,,,
641,,,
642,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
643,I197251160,Hebrew University of Jerusalem,exact
644,I241749,University of Cambridge,exact
645,I1294671590,Centre National de la Recherche Scientifique,fuzzy
646,I53964585,Weizmann Institute of Science,fuzzy
647,,,
648,I62916508,Technical University of Munich,exact
649,I4405267316,German Center for Neurodegenerative Diseases (DZNE) Dresden,fuzzy
650,I97565354,University of Lausanne,exact
651,,,
652,I149899117,Max Planck Society,exact
653,I40120149,University of Oxford,exact
654,I138549579,Scuola Internazionale Superiore di Studi Avanzati,fuzzy
655,I113358080,Champalimaud Foundation,exact
656,I197251160,Hebrew University of Jerusalem,exact
657,,,
658,,,
659,I45129253,University College London,exact
660,,,
661,I114457229,University of Geneva,exact
662,I8087733,University of Tübingen,exact
663,I187531555,Lund University,exact
664,,,
665,I40120149,University of Oxford,exact
666,I193662353,Utrecht University,exact
667,I28166907,Karolinska Institutet,exact
668,I202697423,University of Zurich,exact
669,I154387261,Vita-Salute San Raffaele University,exact
670,I53964585,Weizmann Institute of Science,fuzzy
671,,,
672,I16391192,Tel Aviv University,exact
673,I4210162077,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. - Hans-Knöll-Institut (HKI),exact
674,I95674353,UCLouvain,fuzzy
675,I4210138103,"Czech Academy of Sciences, Institute of Molecular Genetics",exact
676,I4210108711,University Medical Center Hamburg-Eppendorf,exact
677,I2799391451,University Hospital Bonn,exact
678,I4210100188,Biogipuzkoa Health Research Institute,exact
679,I187531555,Lund University,exact
680,I157674565,University of Liège,exact
681,I124055696,University of Copenhagen,exact
682,I6820528,Alexander Fleming Biomedical Sciences Research Center,fuzzy
683,,,
684,I75951250,Freie Universität Berlin,exact
685,,,
686,,,
687,I53964585,Weizmann Institute of Science,fuzzy
688,,,
689,I1294671590,Centre National de la Recherche Scientifique,fuzzy
690,I34809795,Medizinische Hochschule Hannover,exact
691,I2799391451,University Hospital Bonn,exact
692,,,
693,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy
694,I96673099,Technical University of Denmark,exact
695,I17937529,German Cancer Research Center,exact
696,I4405252639,Gulbenkian Institute for Molecular Medicine,fuzzy
697,I3018483916,University Medical Center Utrecht,exact
698,I114457229,University of Geneva,exact
699,I98358874,Delft University of Technology,exact
700,,,
701,I2802805223,Calouste Gulbenkian Foundation,exact
702,I53964585,Weizmann Institute of Science,fuzzy
703,I98677209,University of Edinburgh,exact
704,I1850255,University of Basel,exact
705,I53964585,Weizmann Institute of Science,fuzzy
706,I8901234,Foundation for Research and Technology Hellas,exact
707,,,
708,I114457229,University of Geneva,exact
709,I4210108711,University Medical Center Hamburg-Eppendorf,exact
710,I35440088,ETH Zurich,fuzzy
711,I187531555,Lund University,exact
712,I53964585,Weizmann Institute of Science,fuzzy
713,I16391192,Tel Aviv University,exact
714,,,
715,I202697423,University of Zurich,exact
716,I3020210244,Sanquin,exact
717,I62916508,Technical University of Munich,exact
718,I25974101,University of Würzburg,exact
719,,,
720,I205274468,Trinity College Dublin,exact
721,I2801081054,The Francis Crick Institute,fuzzy
722,I4210089966,London School of Hygiene & Tropical Medicine,exact
723,,,
724,I97565354,University of Lausanne,exact
725,I97565354,University of Lausanne,exact
726,I4210143228,Cancer Research UK Scotland Institute,fuzzy
727,I62916508,Technical University of Munich,exact
728,I2802805223,Calouste Gulbenkian Foundation,exact
729,I5124864,École Polytechnique Fédérale de Lausanne,fuzzy
730,I4210124929,Helmholtz Centre for Infection Research,exact
731,,,
732,I25974101,University of Würzburg,exact
733,,,
734,I2809107791,Spanish National Centre for Cardiovascular Research,fuzzy
735,I241749,University of Cambridge,exact
736,I53964585,Weizmann Institute of Science,fuzzy
737,I195460627,University of Aberdeen,exact
