Programme,Acronym,Project Title,Abstract,Researcher(s),Host Institution(s),Country,Region,Project Number,Call,Grant Type,Domain,Panel,Call Year,Start Date,End Date,EU contribution,CORDIS Link
Horizon 2020,iDysChart,Charting key molecules and mechanisms of human immune Dysregulation,"The central challenge for the immune system is to efficiently recognize and neutralize foreign antigen while protecting self. If the latter fails, autoimmunity and/or autoinflammation may occur, as observed in many human diseases. Though several human genes involved in the process have been identified we still lack: i) a comprehensive appreciation of all contributing molecular pathways, ii) an understanding of the interplay and epistatic relationships among the various elements and iii) a satisfactory strategy to counteract dysregulation based on an understanding of the regulatory logic. 
I hypothesize that there is only a finite number of pathways involved and that it should be possible to mount a synergistic strategy to create a first chart of the entire “territory”. Key to this endeavor is the identification of sufficient elements by mapping immune dysregulation genes to “anchor” the chart onto signposts of which the human pathophysiological relevance is certain. From these signposts, contextualization and integration is achieved by interaction proteomics and network informatics mining the existing data universe, validated through biochemical and imaging tools to power an established set of immune assays. While it may be preposterous to claim feasibility with one ERC grant, I propose that once such a chart exists, even at initial low resolution, it can help reconcile disconnected observations and coalesce future work while being immensely improved in accuracy and mechanistic understanding by the entire community. iDysChart will work towards these goals by 1) identifying novel monogenic causes of autoimmune/autoinflammatory diseases, enabling elucidation of fundamental mechanisms, 2) creating a network-level understanding of molecular pathways of immune dysregulation and 3) employing chemical and genetic screens to complement human disease gene discovery in predicting the core human immune dysregulome and investigating potential avenues for therapeutic modulation.",Ahmet Kaan Boztug,"Children's Cancer Research Institute [891384896,AT]",Austria,Ostösterreich (AT1),820074,ERC-2018-COG,Consolidator Grants,Life Sciences (LS),"LS6 - Immunity, Infection & Immunotherapy",2018,2019-06-01 00:00:00,2025-05-31 00:00:00,1999263,https://cordis.europa.eu/project/id/820074
FP7,RNAiMMUNITY,Dynamics of the RNAi-mediated antiviral immunity,"RNA interference (RNAi) is a conserved sequence-specific, gene-silencing mechanism that is induced by double-stranded RNA (dsRNA). Double-stranded RNA is commonly generated during viral replication and is considered to be a molecular pattern associated with viral infection. Our previous work demonstrated that viral infections in the fruit fly Drosophila melanogaster are countered by an antiviral RNAi response: the small interfering RNA (siRNA) pathway is the major antiviral defence mechanism in insects. Recently, another RNAi pathway was also suggested to be involved in antiviral defence, the piwi-interacting RNA (piRNA) pathway._x000D_The field of insect immunity has been largely dominated by studies on antimicrobial immunity, while antiviral immunity has received relatively little attention. Based on a combination of basic and applied science as well as bioinformatic approaches, we propose to investigate the molecular and cellular aspects underlying the immune dynamics of the antiviral response. We want to uncover fully the mechanism of antiviral RNAi in insects and its main attributes, such as memory, long-lasting immunity, specificity, and effect on the virus._x000D_The “nucleic-acid based” immune system that we are deciphering points to the concerted effort of multiple defence pathways from both partners as a new perspective in immunity and host-pathogen relationships.",Maria Carla Saleh Bottegoni,"Pasteur Institute [999993080,FR]",France,Ile-de-France (FR1),615220,ERC-2013-COG,Consolidator Grants,Life Sciences (LS),"LS6 - Immunity, Infection & Immunotherapy",2013,2015-01-01 00:00:00,2020-12-31 00:00:00,1442600,https://cordis.europa.eu/project/id/615220
Horizon 2020,BLASTOID,A drug discovery platform for early human embryogenesis.,"	    	        	         	         	                      	
The first weeks of human embryonic development are crucial. Early abnormalities or insults result not only in infertility, but also contribute to long-term impairment of human health (e.g., cardiovascular disease and diabetes). Managing the onset of pregnancy therefore offers a huge opportunity to improve public health through effective family planning and disease prevention.
 
To better manage pregnancy, biomedical research would require large numbers of human embryos for use in genetic and drug screening. Unfortunately, however, the scarcity of human embryos makes this impossible. Recently, hope for an alternative approach has come from work in my lab showing that mouse stem cells self-organize into structures closely resembling pre-implantation embryos (a.k.a. blastocysts), that we termed blastoids. Because stem cells can be largely expanded and genetically-modified, these synthetic embryos provide a powerful, scalable alternative that is amenable to drug and genetic screens, thus opening numerous possibilities for therapeutic breakthroughs.

Here, I propose the development of human blastoids and uterine organoids to model embryogenesis and uterine implantation in vitro. This platform will be used to identify potential targets for the therapeutic modulation of the molecular pathways that control (1) early embryogenesis and (2) interactions between the embryo and uterus, and will pave the way to (3) establishing a drug discovery pipeline for the management of implantation.
 
This project will generate key insights into druggable molecules controlling early human embryogenesis, facilitating identification of therapeutic targets to improve in vitro fertilization (IVF) procedures and contraception and, ultimately, to prevent several chronic diseases.","Nicolas, Clement Rivron","Institute of Molecular Biotechnology (IMBA) [999919263,AT]",Austria,Ostösterreich (AT1),101002317,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2020,2021-07-01 00:00:00,2026-06-30 00:00:00,2000000,https://cordis.europa.eu/project/id/101002317
Horizon 2020,QUANTUM,Quantifying the spread of P. falciparum malaria,"Background: A major challenge for malaria elimination is its phenomenally efficient spread through sexual stage parasites (gametocytes). Many individuals in endemic settings harbour low but transmissible gametocyte densities. It is currently unclear how gametocyte density translates into the likelihood that an infected mosquito gives rise to secondary infections, who drive malaria transmission at population level and how anti-gametocyte immunity affects gametocyte production and infectivity. 

I hypothesize that secondary infections can arise from low-density infections but that higher gametocyte densities result in comparatively more infectious mosquitoes and an increased number of secondary infections. I further hypothesize that malaria transmission efficiency and changes therein can only be accurately predicted if anti-gametocyte immunity is thoroughly understood and that the rapid loss of gametocyte immunity during effective control results in increased transmission efficiency.

Aims and approach: I will perform the first-ever direct assessment of numbers of malaria parasites ejected by mosquitoes in relation to natural gametocyte densities. Using novel genotyping approaches, longitudinal sampling of infections at unsurpassed resolution and state-of-the art analytical approaches, I will perform the most comprehensive molecular evaluation of malaria transmission in a real community ever performed. Lastly, I will quantify the impact of immune responses that reduce gametocyte density and infectivity by novel immune-profiling approaches and mathematical transmission models.

Importance and innovation: this project will profoundly improve understanding of the production and infectivity of gametocytes and the epidemiological impact of human immune responses that influence these processes. The work in different African settings will provide a major leap forward in understanding the human infectious reservoir for malaria and has direct implications for elimination",Jan Teun Bousema,"Radboud University Medical Center [892057785,NL]",Netherlands,Oost-Nederland (NL2),864180,ERC-2019-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2019,2020-07-01 00:00:00,2025-06-30 00:00:00,2000000,https://cordis.europa.eu/project/id/864180
Horizon 2020,METAPTPs,"PROTEIN TYROSINE PHOSPHATASES IN METABOLIC DISEASES: OXIDATION, DYSFUNCTION AND THERAPEUTIC POTENTIAL","Diabetes mellitus is characterised by hyperglycaemia caused by an absolute or relative insulin deficiency. The global prevalence of diabetes has reached more than 410 million individuals, underscoring the need for novel therapeutic strategies targeting the pathology as a multi-organ disease. Protein tyrosine phosphatases (PTPs) constitute a superfamily of enzymes that dephosphorylate tyrosine-phosphorylated proteins and oppose the actions of protein tyrosine kinases. My previous studies and preliminary data suggest that PTPs act as molecular switches for key signalling events in the development of diabetes, i.e. insulin/glucose/cytokine signalling. Dysregulation of these pathways results in metabolic consequences that are cell-specific. Oxidative stress abrogates the nucleophilic properties of the PTP active site and induces conformational changes that inhibit PTP activity and prevent substrate-binding. I have recently developed an innovative proteomic approach to quantify PTP oxidation in vivo and demonstrated that this occurs in liver/pancreas under pathological conditions, including obesity and inflammation. In this proposal, I aim to fully characterise the activity and oxidation status of PTPs in dysfunctional metabolic relevant cells in obesity and diabetes. Importantly, the crucial role of PTPs make them promising candidates for the treatment of metabolic disorders. I hypothesise that specific antioxidants, diets and/or adenovirus will restore PTP function and ameliorate the metabolic deleterious defects in pre-clinical studies. Over the next 5 years, I aim to:

• Identify the major oxidised PTPs in metabolic relevant tissues/cells in both obesity and diabetes.
• Determine the contribution of PTP inactivation in cellular responses to metabolic signalling in human samples.
• Assess the impact of tissue-specific PTP deficiency on the development of obesity and diabetes.
• Test novel therapeutic approaches targeting PTPs to prevent/reverse metabolic disorders.",Esteban Gurzov Amarelo,"ULB - Free University of Brussels [999986290,BE]",Belgium,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest (BE1),817940,ERC-2018-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2018,2019-04-01 00:00:00,2026-03-31 00:00:00,1966906,https://cordis.europa.eu/project/id/817940
Horizon 2020,EVICARE,Extracellular Vesicle-Inspired CArdiac Repair,"More than 3.5 million people are newly diagnosed with heart failure every year in Europe with a long-term prognosis of 50% mortality within 4 years. There is a major need for more innovative, regenerative therapies that have the potential to change the course of disease. My hypothesis is that we can recondition heart failure by stimulating cardiac repair with extracellular vesicles that are derived from progenitor cells. In my laboratory, extracellular released vesicles containing a cocktail of stimulating factors, are amongst the most potent vectors for cardiac repair.
To achieve a sustainable and long-term therapeutic effect of these vesicles and enhance cardiac function by stimulating myocardial repair, we will 1) improve local cardiac delivery of progenitor cell-derived extracellular vesicles, 2) understand the mechanism of action of extracellular vesicles, and 3) stimulate extracellular vesicles release and/or production by progenitor cells.
These questions form the rationale for the current proposal in which we will co-inject extracellular vesicles and slow-release biomaterials into the damaged myocardium. By subsequent genetic tracing, we will determine fate mapping of injected vesicles in vivo, and perform further mechanistic understanding in in vitro culture models of targeted and identified myocardial cell types. Moreover, we will upscale the vesicles production by progenitor cells further via bioreactor culturing and medium-throughput screening on factors that stimulate vesicles release. 
The use of stem cell-derived extracellular vesicles to stimulate cardiac repair will potentially allow for an off-the shelf approach, including mechanistic understanding and future clinical use. Additionally, since these vesicles act as a natural carrier system outperforming current artificial drug delivery, we might understand and mimic their characteristics to enhance local (RNA-based) drug delivery systems for cardiovascular application.",Joseph Petrus Gerardus Sluijter,"University Medical Center Utrecht [999915189,NL]",Netherlands,West-Nederland (NL3),725229,ERC-2016-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2016,2017-09-01 00:00:00,2023-08-31 00:00:00,1997297.99,https://cordis.europa.eu/project/id/725229
Horizon 2020,VascArbor,Vascular Tree Formation in Multi-Structural Tissue Engineering,"Engineered tissues offer a great promise to the field of medicine as an alternative for donor tissues, for which the supply is not meeting the demands. However, the clinical application of engineered tissues is hampered. The integration of engineered tissues after implantation is limited due to the lack of a vascular network. Currently, strategies to include vascular networks rely on the spontaneous organization of vascular cells, or on the patterning of these cells. However, this results in either vascular networks that are not organized, or networks that lose their initial organization fast. This project will use a unique and novel approach to control vascular development and will therefore result in a vascular network with a controllable long-term organization. By allowing for anastomosis, and increasing nutrient delivery, this project will tackle an essential problem and will greatly enhance the clinical applicability of engineered tissues.

Within VascArbor, fluid flows through engineered tissues will be designed and controlled to guide vascular organization. Apart from that, growth factors will be patterned in space and time to further direct the formation of a vascular network with a controlled organization. In parallel, computational models will be developed that can predict vascular organization and development based on processing parameters. This will be a breakthrough in vascularized tissue engineering by enabling a direct link between a desired vascular organization, and the tissue construct geometry and processing conditions that are needed to acquire this organization. 

To maximize the impact of VascArbor on the field of tissue engineering and medicine, the principles that will guide vascular organization are compatible with multiple current and future tissue fabrication technologies. Within VascArbor, tissue building blocks and bio-printing will be used to engineer vascularized cardiac muscle tissue based on the principles developed in this project.",Jeroen Rouwkema Lieten,"University of Twente [999900833,NL]",Netherlands,Oost-Nederland (NL2),724469,ERC-2016-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2016,2017-04-01 00:00:00,2022-03-31 00:00:00,2000000,https://cordis.europa.eu/project/id/724469
Horizon 2020,MMAF,"Novel multimodal approach to atrial fibrillation risk assessment and identification of targets for prevention by interdisciplinary exploitation of omics, advanced electrocardiography, and imaging","There is a growing need for novel risk schemes in atrial fibrillation (AF) to permit prevention, contribute to a better understanding of the pathophysiology, and discover targets for individualized treatment.
Primary prevention efforts are scant despite the imminent AF epidemic. In international cohorts I have developed and validated the first risk prediction algorithm. However, it explains only 60% of the attributable risk and efforts at improving discrimination are urgently required.
Therefore, my overall goal is to develop an enhanced risk prediction algorithm based on cutting-edge technology. The specific focus will be on parameters representative of early stages of the disease process and intermediate phenotypes such as atrial electrical and structural remodelling, chronic subclinical inflammation, oxidative stress, and autonomous tone in manifest and incident AF. Subclinical, potentially reversible changes are ideally suited to provide independent information complementary to known risk markers.
My ambitious concept is to choose a multimodal approach in an interdisciplinary team to systematically assess:
1) Blood and tissue omics (genomics, expression, proteomics, metabolomics),
2) Advanced electrocardiography,
3) Imaging (echocardiography, cardiac MRI), and
4) Gender applying innovative tools and analyses strategies aimed at a systems biology integration of the accumulated information.
I have collected comprehensive biological and epidemiologic information on distinct AF phenotypes in unique prospective population (N>60,000) and clinical cohorts (N>1,000). We are not aware of other groups with access to such a well-established prospective AF biobank.
Informed by omics, electrocardiography and imaging we will provide pathophysiological insights into the disease process, highlight targets for intervention, and develop a contemporary risk scheme. Our results will lay the ground for rapid translation into clinical practice with significant public health impact.",Renate Bonin-Geb.Schnabel,"University Medical Center Hamburg-Eppendorf [999857474,DE]",Germany,Hamburg (DE6),648131,ERC-2014-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2014,2016-01-01 00:00:00,2021-06-30 00:00:00,1999305,https://cordis.europa.eu/project/id/648131
FP7,HEALTHMPOWR,A New Paradigm for Public Health Surveillance: Unlocking the Potential of Data to Empower Women and Health Systems,"Rationale: State of the art health registries, cornerstones of public health surveillance, have hardly capitalized on the information and communication technology revolution. Many continue to be static, fragmented, and passive data repositories disseminating outdated reports only to a closed loop of public health officials. _x000D_Aim: In a radical departure from traditional science, this proposal introduces a new paradigm for public health surveillance: Maximizing the potential of data by disseminating data-driven individualized real-time information directly to women and providers to empower self-care in pregnancy and better healthcare delivery. _x000D_Research question: Is routine, data-driven and automated feedback from a reproductive health registry (RHR) effective in improving health behavior and quality of care? _x000D_Plan: Based on the roll-out of a RHR in the Palestinian West Bank, four stepped wedged cluster randomized controlled trials will be undertaken to investigate the comparative effectiveness of a series of feedback modules to women and care providers. Main outcomes include adherence to evidence-based guidelines for providers, and self-care and care seeking among women. _x000D_PI and Team: I lead the international team of the WHO/NIPH’s “harmonized Reproductive Health Registry (hRHR) Initiative” which provides the new WHO framework for registries that I will put to test at scale. Joining the hRHR team with my affiliation in the newly awarded national Center of Excellence CISMAC (Center for Intervention Sciences for Maternal and Child Health), I will lead an extraordinary team to ensure excellent feasibility and scientific rigor. _x000D_Impact: Coalescing with WHO/NIPH’s dissemination of the hRHR Initiative, the scientific horizons emerging from this proposal have potential for exceptional impact. Radically transforming public health surveillance by empowering women and health care providers with information can translate into better health care and behaviors thus saving lives.",Jahn Frederik Froen,"Norwegian Institute of Public Health [999478883,NO]",Norway,-,617639,ERC-2013-COG,Consolidator Grants,Life Sciences (LS),"LS7 - Prevention, Diagnosis & Treatment of Human Diseases",2013,2014-09-01 00:00:00,2020-08-31 00:00:00,2212136,https://cordis.europa.eu/project/id/617639
Horizon Europe,ZOMBIHAVIOUR,Leveraging the zombie-making strategies of Ophiocordyceps fungi to understand animal behaviour,"Reminiscent of zombies in pop culture, some parasites hijack host behaviours. Our understanding of this parasite strategy to improve transmission is minimal, despite its convergent evolution across major taxa. Functional genetics studies would advance our knowledge of the molecular underpinnings of “zombie behaviour”. Additionally, learning how behaviour can be altered would elucidate how “normal” phenotypes are maintained. However, most zombie-making parasites and their hosts are not classic model organisms, which complicates mechanistic interrogation.

The so-called “zombie ants’ can be used to study parasite hijacking of animal behaviour in more detail. Zombie ants are infected by Ophiocordyceps fungi that cause summit disease. Infected ants ascend vegetation that they bite into as they die to ensure fungal spore dispersal. My lab developed fungal culturing techniques, infection methods and behavioural assays to detail infection-related changes in daily ant foraging, communication, and locomotion. Additionally, by integrating multi-omics tools, we identified candidate fungal products and ant host pathways that might underlie the behavioural changes observed. However, to move from correlation to causation these candidates need to be functionally tested.

By leveraging my lab’s pioneering work and my training in molecular microbiology I aim to elucidate the molecular genetics underlying parasite hijacking of host behaviour. I propose to 1) adopt molecular genetics tools to characterise fungal products that induce altered host behavioural phenotypes, 2) use RNASeq and RNAi to investigate the affected ant pathways that give rise to those phenotypes, and 3) further establish involvement of these behavioural pathways through integration of the animal model Drosophila melanogaster.

The proposed work will be transformative in our understanding of parasite manipulation strategies and spark novel research into sustainable pest control strategies and fungus-derived drugs.",Adriana Maria (Charissa) De Bekker,"Utrecht University [999985805,NL]",Netherlands,West-Nederland (NL3),101124277,ERC-2023-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2023,2024-05-01 00:00:00,2029-04-30 00:00:00,2000000,https://cordis.europa.eu/project/id/101124277
Horizon 2020,SELECTHAPLOID,Testing the Evolutionary Consequences of Haploid Selection in Animals,"Selection occurring during the haploid gametic phase of any sexually reproducing eukaryote may have far-reaching consequences for major biological processes. Selection acting on a haploid genome results in efficient removal of deleterious alleles and rapid fixation of beneficial alleles, which in turn affect adaptation, genetic load and the evolution of recombination rates. Despite their potential importance, we know surprisingly little about the genetic processes occurring during the time window after meiosis until the fusion of male and female pronuclei. This is particularly true for haploid selection in the gametes of predominantly diploid animals. Male gametes (sperm) are produced in vast numbers but only few fertilise eggs and therefore offer a strong opportunity for selection. A prevailing view that such haploid selection is of minimal consequence in animals has been recently overturned by evidence from our lab, which revealed strong links between sperm phenotype and offspring fitness, as well as sperm phenotype and its haploid genotype. The genetic mechanisms underlying these observations are currently poorly understood. In this project, I will tackle three key questions arising from these recent findings: i) How strong are purifying and positive selection during the haploid phase? ii) What are the mechanisms maintaining genetic variation in genes expressed during the haploid phase? iii) How does haploid selection affect the interaction between male and female gametes? By combining carefully designed innovative experimental approaches with cutting-edge single-cell genome and transcriptome sequencing technologies, this project will provide entirely novel insights into the process that is shared by all eukaryotic life. Findings from this project will illuminate not only the fields of evolutionary biology and genetics but far beyond into the areas of animal breeding and human reproduction.",Simone Immler Maklakov,"University of East Anglia [999985611,UK]",United Kingdom,-,101001341,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2020,2022-01-01 00:00:00,2026-12-31 00:00:00,2122476,https://cordis.europa.eu/project/id/101001341
Horizon 2020,DiversiPHI,Predicting the evolution of complex phage-host interactions,"What determines if a phage can infect a host? This question arises as we work to understand the ecological roles of the hundreds of thousands of unknown viruses that I and others have discovered around the world. Phages are the most abundant life forms on Earth with important applications in medicine and biotechnology and far-ranging effects on microbial community functioning in all environments. Phage-host interactions (PHI) are an emergent trait that depends on the complex integration of factors like their taxonomic identity, the environment, and phage- and host-encoded proteins. With DiversiPHI, I propose a research program to unravel PHI by 1) measuring, 2) modelling, and 3) experimentally testing these diverse factors to develop a predictive understanding of host-range evolution.
I will first measure a range of evolutionary, ecological, and molecular factors contributing to PHI at high resolution using newly developed computational tools that exploit high-throughput datasets from thousands of natural environments around the world. Next, I will apply deep learning to integrate these measurements to simultaneously (i) quantify the relative importance and complex inter-dependencies of the different factors, and (ii) create a unique predictive model of host-range evolution. To complement these in silico predictions, I will develop an experimental evolution setup that tests the effect of the different PHI factors on host-range evolution in vitro.
Little is known about the abundant phages and their role in shaping our microbial world. DiversiPHI will vastly elevate this understanding and contribute new fundamental knowledge on how species-species interactions evolve in complex environments. Moreover, I will provide valuable new analysis tools to the community and consolidate my strong international reputation as a pioneering researcher in the cross-disciplinary field encompassing microbial ecology, virology, metagenomics, bioinformatics, and computer learning.",Bastiaan  Elie Dutilh,"University of Jena [999868726,DE]",Germany,Thüringen (DEG),865694,ERC-2019-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2019,2020-05-01 00:00:00,2026-10-31 00:00:00,2000000,https://cordis.europa.eu/project/id/865694
Horizon 2020,EvoGutHealth,Evolution of gut-associated microbial communities and its functional relevance in health and disease,"The gut is a highly dynamic microbial ecosystem that controls human health through its collective metabolic activities. Microbial communities form metabolic networks that are essential for dietary breakdown, production of bioactive metabolites and resistance to infections. Bacterial lineages making up these networks evolve rapidly to adapt to the microbial, metabolic and immune environment of the gut. The lack of suitable model systems has limited our current understanding of the relevance of microbial community evolution in the gut and its impact on microbe-host mutualism.

EvoGutHealth aims to fill this gap in knowledge by using an innovative, tuneable oligo-microbial model system that allows the study of how a native bacterial consortium evolves in its autochthonous host. Based on our preliminary data, we hypothesize that adaptive evolution shapes synergistic metabolic interactions between individual community members and this eventually affects global microbiome functions such as colonization resistance against pathogens. EvoGutHealth pursues three research goals: First, to identify environmental and host factors that shape the genetic potential of microbial communities in the gut. Second, to uncover how microbial community evolution influences disease-relevant microbiome features and metabolic pathways. Third, to model bacterial metabolic networks and elucidate how they are affected by the genetic alterations of their components.

This combined work will fundamentally advance our understanding of the driving forces underlying metabolic network evolution in the mammalian gut. Moreover, it will illuminate how this evolution translates into functional changes. Finally, EvoGutHealth will provide necessary insight to develop strategies to steer microbial communities towards beneficial interactions promoting human health.
",Barbara Stecher-Letsch,"University of Munich (LMU) [999978433,DE]",Germany,Bayern (DE2),865615,ERC-2019-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2019,2020-09-01 00:00:00,2026-08-31 00:00:00,1999085,https://cordis.europa.eu/project/id/865615
Horizon 2020,EPIDEMICSonCHIP,EPIDEMICS in ant societies ON a CHIP,"Living in societies amplifies the risk of getting sick, as pathogens can easily spread along the dense social interaction networks of the hosts. Sanitary care and the organisational structure of societies are expected to limit the risk of epidemics. Yet, how the defences of the individual group members scale-up, combine and synergise towards society-level protection, is poorly understood, as the majority of societies can only be studied via correlational and modeling approaches. Insect societies provide a powerful system for experimental studies, as whole societies are accessible for surveillance and manipulative approaches. We can monitor every behavioural interaction between all members, determine their effects on colony-wide disease spread and replicate experiments arbitrarily. The fitness effects of collective disease defences can be quantified, as they result in a single fitness measure of colony productivity. This is because all members of a social insect colony form a reproductive entity composed of the reproductive queens and males and their sterile workers. I will use an ant host–fungal pathogen system to find out how initial infection develops into an epidemic, and, in turn, how colony-level defence emerges from the interactions between its members. To infer effect from cause, I will not only observe the colony after initial infection of a subset of colony members, but also manipulate the sanitary behaviours and spatiotemporal interaction of host individuals. To this end, I will engineer an automatised platform, following the principles of lab-on-a-chip techniques, to individually target and manipulate colony members, and to quantify their behaviours. Fitness effects will be read out by the quantity and quality of reproductive offspring in the next generation. Such a long-term whole-colony approach is required for understanding the evolution of social immunity, that is, how disease shapes society and how society shapes disease.",Sylvia Maria Cremer-Sixt,"Institute of Science and Technology Austria [996479740,AT]",Austria,Ostösterreich (AT1),771402,ERC-2017-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2017,2018-04-01 00:00:00,2023-03-31 00:00:00,1991564,https://cordis.europa.eu/project/id/771402
Horizon 2020,Virocellsphere,Host-virus chemical arms race during algal bloom in the ocean at a single cell resolution,"Phytoplankton blooms are ephemeral events of exceptionally high primary productivity that regulate the flux of carbon across marine food webs. The cosmopolitan coccolithophore Emiliania huxleyi (Haptophyta) is a unicellular eukaryotic alga responsible for the largest oceanic algal blooms covering thousands of square kilometers. These annual blooms are frequently terminated by a specific large dsDNA E. huxleyi virus (EhV). 
Despite the huge ecological importance of host-virus interactions, the ability to assess their ecological impact is limited to current approaches, which focus mainly on quantification of viral abundance and diversity. On the molecular basis, a major challenge in the current understanding of host-virus interactions in the marine environment is the ability to decode the wealth of “omics” data and translate it into cellular mechanisms that mediate host susceptibility and resistance to viral infection. 
In the current proposal we intend to provide novel functional insights into molecular mechanisms that regulate host-virus interactions at the single-cell level by unravelling phenotypic heterogeneity within infected populations. By using physiological markers and single-cell transcriptomics, we propose to discern between host subpopulations and define their different “metabolic states”, in order to map them into different modes of susceptibility and resistance. By using advanced metabolomic approaches, we also aim to define the infochemical microenvironment generated during viral infection and examine how it can shape host phenotypic plasticity. Mapping the transcriptomic and metabolic footprints of viral infection will provide a meaningful tool to assess the dynamics of active viral infection during natural E. huxleyi blooms. Our novel approaches will pave the way for unprecedented quantification of the “viral shunt” that drives nutrient fluxes in marine food webs, from a single-cell level to a population and eventually ecosystem levels. 
",Asaf Vardi,"Weizmann Institute [999979306,IL]",Israel,-,681715,ERC-2015-COG,Consolidator Grants,Life Sciences (LS),"LS8 - Environmental Biology, Ecology & Evolution",2015,2016-11-01 00:00:00,2021-10-31 00:00:00,2749901,https://cordis.europa.eu/project/id/681715
Horizon 2020,ECOWIZARD,EcoWizard: innovative nanomaterials require ecologically based safety assessment,"Engineered nanomaterials (ENMs) are widely used, and nanotechnological innovations grow with rapid pace. Studies on nanotoxicology have demonstrated that chemical toxicology as well as particle toxicology should be accounted for in predicting the safety of ENMs; and no simple correlation between toxic responses and mass, nanoparticle size or any other particle characteristic is found. Effects often occur only after long-term exposure, whereas evidence of acute toxicity induced by ENMs is limited. Hence, current hazard assessment lacks accurate approaches to assess the safety of ENMs at species level nor does it accounted knowledge for knowledge on how ENMs affect species relationships. To overcome these problems, I address within my proposal 2 key gaps: 1) The current lack of understanding of the chronic effects of ENMs at environmentally relevant conditions at the individual species level as well as at higher ecological levels including considerations of species interactions. 2) The current lack of transferability of dose and response knowledge allowing to extrapolation towards untested (advanced) ENMs and untested species. The EcoWizard project aims to acquire fundamental and generalizable insights into the chronic effects on species and species interactions induced by long-term exposure to (advanced) ENMs at environmentally relevant conditions. My ambitious aim is to combine lab-based experiments and field-realistic mesocosm experiments in tandem with ecophysiological modelling and ecological modelling. Results obtained during this project will ultimately break new grounds by providing the first fundamental insights into the chronic impacts of ENMs on organisms and species interactions, explicitly accounting for the ‘ecology’ in ecotoxicology. The project results will generate the backbone of new ecological-based models that allow to quantify the environmental impact of newly developed ENMs and that are broadly applicable to other ecosystems.",Martha Gerdina Vijver,"Leiden University [999974553,NL]",Netherlands,West-Nederland (NL3),101002123,ERC-2020-COG,Consolidator Grants,Life Sciences (LS),LS9 - Biotechnology & Biosystems Engineering,2020,2021-05-01 00:00:00,2026-04-30 00:00:00,2000000,https://cordis.europa.eu/project/id/101002123
Horizon 2020,AdLibYeast,Synthetic platforms for ad libitum remodelling of yeast central metabolism,"Replacement of petrochemistry by bio-based processes is key to sustainable development and requires microbes equipped with novel-to-nature capabilities. The efficiency of such engineered microbes strongly depends on their native metabolic networks. However, aeons of evolution have optimized these networks for fitness in nature rather than for industrial performance. As a result, central metabolic networks are complex and encoded by mosaic microbial genomes in which genes, irrespective of their function, are scattered over the genome and chromosomes. This absence of a modular organization tremendously restricts genetic accessibility and presents a major hurdle for fundamental understanding and rational engineering of central metabolism. To conquer this limitation, I introduce the concept of ‘pathway swapping’, which will enable experimenters to remodel the core machinery of microbes at will._x000D_Using the yeast Saccharomyces cerevisiae, an industrial biotechnology work horse and model eukaryotic cell, I propose to design and construct a microbial chassis in which all genes encoding enzymes in central carbon metabolism are relocated to a specialized synthetic chromosome, from which they can be easily swapped by any –  homologous or heterologous – synthetic pathway. This challenging and innovative project paves the way for a modular approach to engineering of central metabolism._x000D_Beyond providing a ground-breaking enabling technology, the ultimate goal of the pathway swapping technology is to address hitherto unanswered fundamental questions. Access to a sheer endless variety of configurations of central metabolism offers unique, new possibilities to study the fundamental design of metabolic pathways, the constraints that have shaped them and unifying principles for their structure and regulation. Moreover, this technology enables fast, combinatorial optimization studies on central metabolism to optimize its performance in biotechnological purposes.",Pascale Andrée Simone Lapujade Daran,"Delft University of Technology [999977366,NL]",Netherlands,West-Nederland (NL3),648141,ERC-2014-COG,Consolidator Grants,Life Sciences (LS),LS9 - Biotechnology & Biosystems Engineering,2014,2015-09-01 00:00:00,2020-08-31 00:00:00,2149717.5,https://cordis.europa.eu/project/id/648141
