row_id,host_openalex_id,matched_name,method,relevance,ror
45,,,none,,
46,I47508984,Imperial College London,fuzzy,471411.25,https://ror.org/041kmwe10
47,I154526488,Inserm,weak,49376.336,https://ror.org/02vjkv261
48,I183935753,King's College London,exact,542667.9,https://ror.org/0220mzb33
49,I114457229,University of Geneva,exact,297821.62,https://ror.org/01swzsf04
50,I91712215,Saarland University,exact,182555.69,https://ror.org/01jdpyv68
51,I169381384,University of Groningen,exact,390846.1,https://ror.org/012p63287
52,I129774422,University of Vienna,exact,231053.86,https://ror.org/03prydq77
53,I4210121365,Leibniz Institute for Analytical Sciences - ISAS,fuzzy,61662.824,https://ror.org/02jhqqg57
54,I4210115812,Human Technopole,exact,28326.508,https://ror.org/029gmnc79
55,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
56,I2801081054,The Francis Crick Institute,fuzzy,172216.17,https://ror.org/04tnbqb63
57,I161593684,Stockholm University,exact,248837.88,https://ror.org/05f0yaq80
58,I114457229,University of Geneva,exact,297821.62,https://ror.org/01swzsf04
59,I98358874,Delft University of Technology,exact,336248.8,https://ror.org/02e2c7k09
60,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
61,I2801240073,University Medical Center Freiburg,exact,212013.92,https://ror.org/03vzbgh69
62,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
63,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
64,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
65,I200763008,Justus-Liebig-Universität Gießen,exact,26430.729,https://ror.org/033eqas34
66,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
67,I150540706,University of Veterinary Medicine Vienna,fuzzy,31846.99,https://ror.org/01w6qp003
68,I4432739,University of Bergen,exact,243454.16,https://ror.org/03zga2b32
69,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
70,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
71,I97565354,University of Lausanne,exact,250802.06,https://ror.org/019whta54
72,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
73,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
74,I154526488,Inserm,weak,49376.336,https://ror.org/02vjkv261
75,I4210087105,UK Research and Innovation,weak,2937.9392,https://ror.org/001aqnf71
76,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
77,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
78,I4210087105,UK Research and Innovation,weak,2937.9392,https://ror.org/001aqnf71
79,I102335020,Karlsruhe Institute of Technology,exact,296917.25,https://ror.org/04t3en479
80,I4210126310,Universitätsklinikum Würzburg,fuzzy,6132.775,https://ror.org/03pvr2g57
81,I881427289,University of Gothenburg,exact,304493.62,https://ror.org/01tm6cn81
82,I118564535,University of Bern,exact,287583.72,https://ror.org/02k7v4d05
83,,,none,,
84,I7882870,University of Glasgow,exact,376363.0,https://ror.org/00vtgdb53
85,I60668342,University of Regensburg,exact,201865.47,https://ror.org/01eezs655
86,I4210114103,IFOM,exact,9165.227,https://ror.org/02hcsa680
87,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
88,I133731052,University of Helsinki,exact,368817.44,https://ror.org/040af2s02
89,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
90,I40120149,University of Oxford,exact,569785.9,https://ror.org/052gg0110
91,,,none,,
92,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
93,I4210087105,UK Research and Innovation,weak,2937.9392,https://ror.org/001aqnf71
94,I2801240073,University Medical Center Freiburg,exact,212013.92,https://ror.org/03vzbgh69
95,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
96,I56085075,University of Tartu,exact,173324.9,https://ror.org/03z77qz90
97,I54009628,University of Bayreuth,exact,156766.92,https://ror.org/0234wmv40
98,I4210143228,Cancer Research UK Scotland Institute,fuzzy,15432.592,https://ror.org/03pv69j64
99,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
100,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
101,I189158943,University of Milan,exact,360040.97,https://ror.org/00wjc7c48
102,I125523173,Institute of Molecular Biotechnology,weak,81633.48,https://ror.org/01zqrxf85
103,I205582932,Max Delbrück Center,exact,47851.645,https://ror.org/04p5ggc03
104,I60668342,University of Regensburg,exact,201865.47,https://ror.org/01eezs655
105,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
106,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
107,I114457229,University of Geneva,exact,297821.62,https://ror.org/01swzsf04
108,I45129253,University College London,exact,628804.7,https://ror.org/02jx3x895
109,I40120149,University of Oxford,exact,569785.9,https://ror.org/052gg0110
110,I8087733,University of Tübingen,exact,304372.66,https://ror.org/03a1kwz48
111,I16391192,Tel Aviv University,exact,529300.0,https://ror.org/04mhzgx49
112,I1850255,University of Basel,exact,243737.62,https://ror.org/02s6k3f65
113,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
114,I190082696,Durham University,exact,34730.715,https://ror.org/01v29qb04
115,I241749,University of Cambridge,exact,532775.94,https://ror.org/013meh722
116,I4387155398,Vall d'Hebron Institute of Oncology,exact,115968.836,https://ror.org/054xx3904
117,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
118,I2801952686,Erasmus MC,exact,65992.836,https://ror.org/018906e22
119,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
120,I2898336195,The Netherlands Cancer Institute,exact,165980.95,https://ror.org/03xqtf034
121,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
122,I129774422,University of Vienna,exact,231053.86,https://ror.org/03prydq77
123,I3018483916,University Medical Center Utrecht,exact,379439.4,https://ror.org/0575yy874
124,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
125,I138689650,University of Padua,exact,391372.62,https://ror.org/00240q980
126,I125523173,Institute of Molecular Biotechnology,weak,81633.48,https://ror.org/01zqrxf85
127,I4210115812,Human Technopole,exact,28326.508,https://ror.org/029gmnc79
128,I4210115812,Human Technopole,exact,28326.508,https://ror.org/029gmnc79
129,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
130,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
131,,,none,,
132,I3018483916,University Medical Center Utrecht,exact,379439.4,https://ror.org/0575yy874
133,I4210147769,Institute for Bioengineering of Catalonia,exact,74720.42,https://ror.org/056h71x09
134,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
135,I32597200,Ghent University,exact,332866.03,https://ror.org/00cv9y106
136,I169381384,University of Groningen,exact,390846.1,https://ror.org/012p63287
137,I175532246,University of Eastern Finland,exact,204624.42,https://ror.org/00cyydd11
138,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
139,I28166907,Karolinska Institutet,exact,61562.074,https://ror.org/056d84691
140,I204337017,Aarhus University,exact,286607.8,https://ror.org/01aj84f44
141,I157536573,Institut Pasteur,exact,36066.547,https://ror.org/0495fxg12
142,I184942183,University of Oslo,exact,303018.66,https://ror.org/01xtthb56
143,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
144,I4210115812,Human Technopole,exact,28326.508,https://ror.org/029gmnc79
145,I135140700,University of Bonn,exact,339605.3,https://ror.org/041nas322
146,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
147,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
148,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy,31067.223,https://ror.org/02gfc7t72
149,I4210126310,Universitätsklinikum Würzburg,fuzzy,6132.775,https://ror.org/03pvr2g57
150,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
151,I86987016,KTH Royal Institute of Technology,fuzzy,121966.055,https://ror.org/026vcq606
152,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
153,I2799391451,University Hospital Bonn,exact,135675.83,https://ror.org/01xnwqx93
154,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
155,I205582932,Max Delbrück Center,exact,47851.645,https://ror.org/04p5ggc03
156,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
157,I8204097,Ludwig-Maximilians-Universität München,weak,31190.25,https://ror.org/05591te55
158,,,none,,
159,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
160,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact,117144.875,https://ror.org/043c0p156
161,I4210137962,Centre for Genomic Regulation,exact,202428.42,https://ror.org/03wyzt892
162,I181231927,National University of Ireland,weak,74419.195,https://ror.org/00shsf120
163,I98677209,University of Edinburgh,exact,396567.03,https://ror.org/01nrxwf90
164,I157536573,Institut Pasteur,exact,36066.547,https://ror.org/0495fxg12
165,I98677209,University of Edinburgh,exact,396567.03,https://ror.org/01nrxwf90
166,I7882870,University of Glasgow,exact,376363.0,https://ror.org/00vtgdb53
167,I170486558,Universitat Pompeu Fabra,exact,43511.164,https://ror.org/04n0g0b29
168,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
169,I186903577,University of Luxembourg,exact,91592.805,https://ror.org/036x5ad56
170,I2898336195,The Netherlands Cancer Institute,exact,165980.95,https://ror.org/03xqtf034
171,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
172,I13134134,Universidad de Cantabria,exact,28743.16,https://ror.org/046ffzj20
173,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
174,I35440088,ETH Zurich,fuzzy,59592.008,https://ror.org/05a28rw58
175,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
176,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
177,I17937529,German Cancer Research Center,exact,324796.2,https://ror.org/04cdgtt98
178,I16391192,Tel Aviv University,exact,529300.0,https://ror.org/04mhzgx49
179,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
180,I4210126310,Universitätsklinikum Würzburg,fuzzy,6132.775,https://ror.org/03pvr2g57
181,I16391192,Tel Aviv University,exact,529300.0,https://ror.org/04mhzgx49
182,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
183,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
184,I2898336195,The Netherlands Cancer Institute,exact,165980.95,https://ror.org/03xqtf034
185,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
186,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
187,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
188,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
189,,,none,,
190,I157536573,Institut Pasteur,exact,36066.547,https://ror.org/0495fxg12
191,I145872427,Radboud University Nijmegen,exact,690368.0,https://ror.org/016xsfp80
192,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
193,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
194,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
195,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
196,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
197,I154526488,Inserm,weak,49376.336,https://ror.org/02vjkv261
198,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
199,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
200,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
201,I162608824,University of Sussex,exact,202713.3,https://ror.org/00ayhx656
202,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
203,I4210087105,UK Research and Innovation,weak,2937.9392,https://ror.org/001aqnf71
204,I4210122345,Institute for Research in Biomedicine,fuzzy,9433.836,https://ror.org/01z1gye03
205,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
206,I125523173,Institute of Molecular Biotechnology,weak,81633.48,https://ror.org/01zqrxf85
207,I40120149,University of Oxford,exact,569785.9,https://ror.org/052gg0110
208,I860889466,Friedrich Miescher Institute,exact,34508.246,https://ror.org/01bmjkv45
209,I241749,University of Cambridge,exact,532775.94,https://ror.org/013meh722
210,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
211,I28166907,Karolinska Institutet,exact,61562.074,https://ror.org/056d84691
212,I17937529,German Cancer Research Center,exact,324796.2,https://ror.org/04cdgtt98
213,I4210138103,"Czech Academy of Sciences, Institute of Molecular Genetics",exact,5296.81,https://ror.org/045syc608
214,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
215,I47508984,Imperial College London,fuzzy,471411.25,https://ror.org/041kmwe10
216,I195525897,Research Institute of Molecular Pathology,fuzzy,123675.9,https://ror.org/02c5jsm26
217,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
218,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
219,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
220,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy,31067.223,https://ror.org/02gfc7t72
221,I193223587,University of Trento,exact,167551.7,https://ror.org/05trd4x28
222,,,none,,
223,I4210089594,Spanish National Cancer Research Centre,exact,151161.52,https://ror.org/00bvhmc43
224,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
225,I2800006345,Leiden University Medical Center,exact,358705.56,https://ror.org/05xvt9f17
226,I80043,Institut Curie,fuzzy,11478.1455,https://ror.org/04t0gwh46
227,I80043,Institut Curie,fuzzy,11478.1455,https://ror.org/04t0gwh46
228,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
229,I40120149,University of Oxford,exact,569785.9,https://ror.org/052gg0110
230,I4210137962,Centre for Genomic Regulation,exact,202428.42,https://ror.org/03wyzt892
231,I75951250,Freie Universität Berlin,exact,46536.777,https://ror.org/046ak2485
232,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
233,I123387679,Uppsala University,exact,353079.12,https://ror.org/048a87296
234,I4210122345,Institute for Research in Biomedicine,fuzzy,9433.836,https://ror.org/01z1gye03
235,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
236,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
237,I277688954,Université Paris-Saclay,exact,56784.676,https://ror.org/03xjwb503
238,I133731052,University of Helsinki,exact,368817.44,https://ror.org/040af2s02
239,I56085075,University of Tartu,exact,173324.9,https://ror.org/03z77qz90
240,I8204097,Ludwig-Maximilians-Universität München,weak,31190.25,https://ror.org/05591te55
241,I1322597698,Royal Netherlands Academy of Arts and Sciences,exact,117144.875,https://ror.org/043c0p156
242,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
243,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
244,I4210148920,Danish Cancer Society,exact,126267.65,https://ror.org/03ytt7k16
245,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
246,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
247,I134820265,Consejo Superior de Investigaciones Científicas,fuzzy,31067.223,https://ror.org/02gfc7t72
248,I2801240073,University Medical Center Freiburg,exact,212013.92,https://ror.org/03vzbgh69
249,,,none,,
250,I124227911,Ben-Gurion University of the Negev,exact,387759.6,https://ror.org/05tkyf982
251,I98358874,Delft University of Technology,exact,336248.8,https://ror.org/02e2c7k09
252,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
253,I150540706,University of Veterinary Medicine Vienna,fuzzy,31846.99,https://ror.org/01w6qp003
254,I124055696,University of Copenhagen,exact,402602.5,https://ror.org/035b05819
255,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
256,,,none,,
257,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
258,I4210137962,Centre for Genomic Regulation,exact,202428.42,https://ror.org/03wyzt892
259,I62916508,Technical University of Munich,exact,424323.34,https://ror.org/02kkvpp62
260,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
261,I4210089592,Josep Carreras Leukaemia Research Institute,exact,70537.74,https://ror.org/00btzwk36
262,I4210110463,Leibniz Institute of Plant Biochemistry,exact,94131.9,https://ror.org/01mzk5576
263,I157536573,Institut Pasteur,exact,36066.547,https://ror.org/0495fxg12
264,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
265,I197251160,Hebrew University of Jerusalem,exact,375981.75,https://ror.org/03qxff017
266,I28166907,Karolinska Institutet,exact,61562.074,https://ror.org/056d84691
267,I195525897,Research Institute of Molecular Pathology,fuzzy,123675.9,https://ror.org/02c5jsm26
268,I133731052,University of Helsinki,exact,368817.44,https://ror.org/040af2s02
269,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
270,I4210164740,"Czech Academy of Sciences, Biology Centre",exact,4821.525,https://ror.org/05pq4yn02
271,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
272,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
273,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
274,I4210086570,Heidelberg University of Education,fuzzy,8563.61,https://ror.org/0044w3h23
275,I5237613,Frankfurt University of Applied Sciences,weak,9938.851,https://ror.org/02r625m11
276,I4405271003,Elblandklinikum Radebeul,weak,1.7318883,https://ror.org/01pnwhg58
277,I2802805223,Calouste Gulbenkian Foundation,exact,12565.292,https://ror.org/04yxemn98
278,I189158943,University of Milan,exact,360040.97,https://ror.org/00wjc7c48
279,I205582932,Max Delbrück Center,exact,47851.645,https://ror.org/04p5ggc03
280,I97565354,University of Lausanne,exact,250802.06,https://ror.org/019whta54
281,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
282,,,none,,
283,I189712700,University of Konstanz,exact,163886.89,https://ror.org/0546hnb39
284,I98677209,University of Edinburgh,exact,396567.03,https://ror.org/01nrxwf90
285,I4210138560,European Molecular Biology Laboratory,fuzzy,18445.186,https://ror.org/03mstc592
286,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
287,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
288,I157536573,Institut Pasteur,exact,36066.547,https://ror.org/0495fxg12
289,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
290,I180923762,University of Cologne,weak,13310.07,https://ror.org/00rcxh774
291,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
292,I241749,University of Cambridge,exact,532775.94,https://ror.org/013meh722
293,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
294,I133731052,University of Helsinki,exact,368817.44,https://ror.org/040af2s02
295,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
296,I241749,University of Cambridge,exact,532775.94,https://ror.org/013meh722
297,I40120149,University of Oxford,exact,569785.9,https://ror.org/052gg0110
298,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
299,I4387154544,Institut National de la Recherche Agronomique,exact,542.099,https://ror.org/01x3gbx83
300,I157536573,Institut Pasteur,exact,36066.547,https://ror.org/0495fxg12
301,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
302,I4210127611,CeMM Research Center for Molecular Medicine,fuzzy,36781.23,https://ror.org/02z2dfb58
303,,,none,,
304,I241749,University of Cambridge,exact,532775.94,https://ror.org/013meh722
305,I74656192,University of Göttingen,exact,297212.0,https://ror.org/01y9bpm73
306,I17937529,German Cancer Research Center,exact,324796.2,https://ror.org/04cdgtt98
307,I133731052,University of Helsinki,exact,368817.44,https://ror.org/040af2s02
308,I17937529,German Cancer Research Center,exact,324796.2,https://ror.org/04cdgtt98
309,I80043,Institut Curie,fuzzy,11478.1455,https://ror.org/04t0gwh46
310,I189158943,University of Milan,exact,360040.97,https://ror.org/00wjc7c48
311,I157556583,Institute of Science and Technology Austria,exact,61168.43,https://ror.org/03gnh5541
312,I4210164740,"Czech Academy of Sciences, Biology Centre",exact,4821.525,https://ror.org/05pq4yn02
313,I4405271003,Elblandklinikum Radebeul,weak,1.7318883,https://ror.org/01pnwhg58
314,I98677209,University of Edinburgh,exact,396567.03,https://ror.org/01nrxwf90
315,I8204097,Ludwig-Maximilians-Universität München,weak,31190.25,https://ror.org/05591te55
316,I97565354,University of Lausanne,exact,250802.06,https://ror.org/019whta54
317,I2802805223,Calouste Gulbenkian Foundation,exact,12565.292,https://ror.org/04yxemn98
318,I183935753,King's College London,exact,542667.9,https://ror.org/0220mzb33
319,I182534213,Universidade do Porto,weak,29863.537,https://ror.org/043pwc612
320,I16391192,Tel Aviv University,exact,529300.0,https://ror.org/04mhzgx49
321,I32597200,Ghent University,exact,332866.03,https://ror.org/00cv9y106
322,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
323,I2802017950,Vlaams Instituut voor Biotechnologie,weak,24067.06,https://ror.org/03xrhmk39
324,I129774422,University of Vienna,exact,231053.86,https://ror.org/03prydq77
325,I180437899,University of Bremen,exact,151379.67,https://ror.org/04ers2y35
326,I1294671590,Centre National de la Recherche Scientifique,fuzzy,165431.84,https://ror.org/02feahw73
327,I45129253,University College London,exact,628804.7,https://ror.org/02jx3x895
328,,,none,,
329,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
330,I4210086570,Heidelberg University of Education,fuzzy,8563.61,https://ror.org/0044w3h23
331,I4210086872,Institut de génétique et de biologie moléculaire et cellulaire,fuzzy,23064.951,https://ror.org/0015ws592
332,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
333,I149899117,Max Planck Society,exact,481286.8,https://ror.org/01hhn8329
334,I150540706,University of Veterinary Medicine Vienna,fuzzy,31846.99,https://ror.org/01w6qp003
335,I2801081054,The Francis Crick Institute,fuzzy,172216.17,https://ror.org/04tnbqb63
336,I155660961,University of Turku,exact,205834.64,https://ror.org/05vghhr25
337,I113358080,Champalimaud Foundation,exact,61870.65,https://ror.org/03g001n57
338,I97565354,University of Lausanne,exact,250802.06,https://ror.org/019whta54
339,I40120149,University of Oxford,exact,569785.9,https://ror.org/052gg0110
340,I132053463,Université Libre de Bruxelles,weak,123523.0,https://ror.org/01r9htc13
341,I4387154544,Institut National de la Recherche Agronomique,exact,542.099,https://ror.org/01x3gbx83
342,I193662353,Utrecht University,exact,376452.06,https://ror.org/04pp8hn57
343,I180923762,University of Cologne,weak,13310.07,https://ror.org/00rcxh774
344,I4210089594,Spanish National Cancer Research Centre,exact,151161.52,https://ror.org/00bvhmc43
345,I53964585,Weizmann Institute of Science,fuzzy,256521.75,https://ror.org/0316ej306
346,I4210147769,Institute for Bioengineering of Catalonia,exact,74720.42,https://ror.org/056h71x09
347,I202697423,University of Zurich,exact,350629.0,https://ror.org/02crff812
348,I241749,University of Cambridge,exact,532775.94,https://ror.org/013meh722
