row_id,host_openalex_id
450,I99043593
451,I31746571
452,I185523456
453,I118347636
454,I63525965
455,I205640436
456,I205640436
457,I11701301
458,I165779595
459,I160993911
460,I165779595
461,I165779595
462,I129801699
463,I160993911
464,I165143802
465,I165143802
466,I11701301
467,I118347636
468,I165143802
469,I165779595
470,I160993911
471,I205640436
472,I11701301
473,I31746571
474,I31746571
475,I82951845
476,I165143802
477,I4405259444
478,I99043593
479,I118347636
480,I82951845
481,I99043593
482,I118347636
483,I56590836
484,I5681781
485,I129801699
486,I129801699
487,I82951845
488,I82951845
489,I118347636
490,I5681781
491,I165143802
492,I31746571
493,I90745801
494,I205640436
495,I129604602
496,I205640436
497,I82951845
498,I177877127
499,I5681781
500,I57093077
501,I204824540
502,I11701301
503,I165779595
504,I165779595
505,I129801699
506,I177877127
507,I5681781
508,I82951845
509,I160993911
510,I165779595
511,I149704539
512,I82951845
513,I129801699
514,I56590836
515,I118347636
516,I99043593
517,I170239107
518,I165143802
519,I165143802
520,I205640436
521,I129604602
522,I165143802
523,I129604602
524,I165143802
525,I196829312
526,I56590836
527,I56590836
528,I118347636
529,I177877127
530,I160993911
531,I82951845
532,I114017466
533,I165779595
534,I165143802
535,I169541294
536,I165143802
537,I56590836
538,I165143802
539,I149704539
540,I31746571
541,I31746571
542,I90745801
543,I177877127
544,I118347636
545,I11701301
546,I118347636
547,I165779595
548,I118347636
549,I205640436
550,I31746571
551,I165779595
552,I160993911
553,I66809481
554,I165779595
555,I129604602
556,I11701301
557,I31746571
558,I169541294
559,I99043593
560,I5681781
561,I129604602
562,I11701301
563,I177877127
564,I99043593
565,I149704539
566,I82951845
567,I165143802
568,I56590836
569,I165779595
570,I129604602
571,I196829312
572,I31746571
573,I82951845
574,I165779595
575,I56590836
576,I114017466
577,I31746571
578,I129604602
579,I56590836
580,I5681781
581,I31746571
582,I118347636
583,I165779595
584,I165143802
585,I165143802
586,I129604602
587,I129801699
588,I5681781
589,I129604602
590,I56590836
591,I56590836
592,I165143802
593,I118347636
594,I56590836
595,I165779595
596,I129604602
597,I56590836
598,I129801699
599,I165779595
600,I57093077
601,I56590836
602,I56590836
603,I86467917
604,I205640436
605,I56590836
606,I31746571
607,I31746571
608,I165779595
609,I99043593
610,I204824540
611,I177877127
612,I99043593
613,I165143802
614,I160993911
615,I57093077
616,I56590836
617,I205640436
618,I57093077
619,I31746571
620,I185523456
621,I31746571
622,I165779595
623,I160993911
624,I82951845
625,I56590836
626,I205640436
627,I31746571
628,I165779595
629,I118347636
630,I4405259444
631,I118347636
632,I165779595
633,I56590836
634,I170239107
635,I56590836
636,I56590836
637,I165779595
638,I165779595
639,I31746571
640,I165779595
641,I165143802
642,I165143802
643,I11701301
644,I31746571
645,I31746571
646,I82951845
647,I165779595
648,I165779595
649,I56590836
650,I165779595
651,I160993911
652,I129801699
653,I31746571
654,I99043593
655,I204824540
656,I165779595
657,I177877127
658,I165779595
659,I174025329
660,I31746571
661,I170239107
662,I165143802
663,I5681781
664,I170239107
665,I4405259444
666,I165779595
667,I57093077
668,I56590836
669,I56590836
670,I63525965
671,I129801699
672,I129604602
673,I196829312
674,I56590836
675,I99043593
676,I165779595
677,I63525965
678,I5681781
679,I165779595
680,I114017466
681,I129801699
682,I99043593
683,I129801699
684,I31746571
685,I177877127
686,I63525965
687,I56590836
688,I99043593
689,I177877127
690,I165779595
691,I31746571
692,I5681781
693,I205640436
694,I5681781
695,I177877127
696,I165143802
697,I118347636
698,I129604602
699,I5681781
700,I160993911
701,I86695891
702,I165143802
703,I57093077
704,I118347636
705,I165779595
706,I31746571
707,I165779595
708,I169541294
709,I56590836
710,I11701301
711,I5681781
712,I177877127
713,I56590836
714,I118347636
715,I165779595
716,I5681781
717,I82951845
718,I196829312
719,I118347636
720,I129604602
721,I78757542
722,I11701301
723,I56590836
724,I149704539
725,I160993911
726,I82951845
727,I165143802
728,I165143802
729,I57093077
730,I177877127
731,I165779595
732,I129604602
733,I165779595
734,I129604602
735,I129604602
736,I149704539
737,I56590836
738,I165143802
739,I56590836
740,I165779595
741,I129604602
742,I56590836
743,I31746571
744,I129604602
745,I169541294
746,I165779595
747,I118347636
748,I169541294
749,I114017466
750,I11701301
751,I205640436
752,I165779595
753,I204824540
754,I196829312
755,I160993911
756,I57093077
757,I165143802
758,I165143802
759,I11701301
760,I118347636
761,I56590836
762,I118347636
763,I205640436
764,I160993911
765,I165779595
766,I5681781
767,I177877127
768,I31746571
769,I99043593
770,I160993911
771,I99043593
772,I5681781
773,I118347636
774,I177877127
775,I31746571
776,I118347636
777,I129604602
778,I165779595
779,I165779595
780,I204824540
781,I56590836
782,I31746571
783,I165143802
784,I5681781
785,I177877127
786,I204824540
787,I56590836
788,I31746571
789,I56590836
790,I31746571
791,I177877127
792,I118347636
793,I169541294
794,I174025329
795,I129604602
796,I5681781
797,I177877127
798,I165143802
799,I160993911
800,I114017466
801,I29894533
802,I165779595
803,I165779595
804,I118347636
805,I118347636
806,I82951845
807,I205640436
808,I11701301
809,I56590836
810,I129604602
811,I56590836
812,I165143802
813,I165143802
814,I56590836
815,I165779595
816,I165143802
817,I160993911
818,I165143802
819,I78757542
820,I31746571
821,I165143802
822,I177877127
823,I5681781
824,I31746571
825,I165143802
826,I149704539
827,I99043593
828,I31746571
829,I205640436
830,I165779595
831,I114017466
832,I165143802
833,I56590836
834,I129604602
835,I196829312
836,I31746571
837,I56590836
838,I165143802
839,I177877127
840,I165143802
841,I99043593
842,I165143802
843,I165143802
844,I204824540
845,I31746571
846,I118347636
847,I118347636
848,I205640436
849,I129604602
850,I31746571
851,I56590836
852,I56590836
853,I118347636
854,I129604602
855,I57093077
856,I160993911
857,I174025329
858,I118347636
859,I129604602
860,I99043593
861,I160993911
862,I118347636
863,I56590836
864,I205640436
865,I129604602
866,I66809481
867,I56590836
868,I118347636
869,I31746571
870,I63525965
871,I165779595
872,I31746571
873,I165779595
874,I31746571
875,I177877127
876,I165779595
877,I57093077
878,I56590836
879,I114017466
880,I165143802
881,I165779595
882,I99043593
883,I165779595
884,I170239107
885,I5681781
886,I56590836
887,I31746571
888,I5681781
889,I165143802
890,I78757542
891,I165779595
892,I196829312
893,I114017466
894,I149704539
895,I118347636
896,I56590836
897,I31746571
898,I118347636
899,I56590836
900,I31746571
901,I56590836
902,I86467917
903,I56590836
904,I165143802
905,I129801699
906,I56590836
907,I57093077
908,I118347636
909,I56590836
910,I56590836
911,I56590836
912,I149704539
913,I165779595
914,I196829312
915,I149704539
916,I31746571
917,I31746571
918,I129604602
919,I129604602
920,I118347636
921,I129604602
922,I5681781
923,I56590836
924,I31746571
925,I57093077
926,I11701301
927,I82951845
928,I204824540
929,I118347636
930,I56590836
931,I118347636
932,I118347636
933,I56590836
934,I165779595
935,I129604602
936,I118347636
937,I56590836
938,I114017466
939,I165779595
940,I78757542
941,I118347636
942,I160993911
943,I165143802
944,I165779595
945,I31746571
946,I118347636
947,I170239107
948,I56590836
949,I177877127
950,I129604602
951,I165143802
952,I56590836
953,I177877127
954,I204824540
955,I82951845
956,I177877127
957,I5681781
958,I165779595
959,I56590836
960,I165779595
961,I160993911
962,I82951845
963,I165143802
964,I170239107
965,I114017466
966,I205640436
967,I5681781
968,I165143802
969,I169541294
970,I11701301
971,I78757542
972,I11701301
973,I82951845
974,I118347636
975,I170239107
976,I99043593
977,I114017466
978,I118347636
979,I118347636
980,I129604602
981,I129604602
982,I118347636
983,I56590836
984,I170239107
985,I11701301
986,I99043593
987,I56590836
988,I129604602
989,I129801699
990,I31746571
991,I63525965
992,I118347636
993,I165143802
994,I56590836
995,I165779595
996,I165779595
997,I177877127
998,I129604602
999,I56590836
1000,I204824540
1001,I56590836
1002,I99043593
1003,I165779595
1004,I204824540
1005,I118347636
1006,I165779595
1007,I165143802
1008,I177877127
1009,I177877127
1010,I78757542
1011,I196829312
1012,I99043593
1013,I56590836
1014,I196829312
1015,I11701301
1016,I165779595
1017,I56590836
1018,I5681781
1019,I56590836
1020,I57093077
1021,I56590836
1022,I129604602
1023,I165779595
1024,I165779595
1025,I99043593
1026,I129604602
1027,I99043593
1028,I165143802
1029,I11701301
1030,I160993911
1031,I169541294
1032,I129801699
1033,I160993911
1034,I57093077
1035,I118347636
1036,I56590836
1037,I56590836
1038,I118347636
1039,I165143802
1040,I165143802
1041,I170239107
1042,I114017466
1043,I118347636
1044,I63525965
1045,I165143802
1046,I114017466
1047,I165779595
1048,I11701301
1049,I204824540
1050,I165779595
1051,I188329596
1052,I205640436
1053,I31746571
1054,I165143802
1055,I160993911
1056,I129801699
1057,I118347636
1058,I99043593
1059,I78757542
1060,I63525965
1061,I31746571
1062,I165779595
1063,I174025329
1064,I118347636
1065,I99043593
1066,I165779595
1067,I31746571
1068,I129801699
1069,I205640436
1070,I129801699
1071,I5681781
1072,I129604602
1073,I56590836
1074,I205640436
1075,I56590836
1076,I5681781
1077,I82951845
1078,I78757542
1079,I31746571
1080,I165143802
1081,I129801699
1082,I129604602
1083,I165143802
1084,I165143802
1085,I205640436
1086,I78757542
1087,I56590836
1088,I2802600346
1089,I114017466
1090,I31746571
1091,I118347636
1092,I114017466
1093,I165779595
1094,I165143802
1095,I165779595
1096,I31746571
1097,I56590836
1098,I160993911
1099,I165779595
1100,I82951845
1101,I129604602
1102,I31746571
1103,I160993911
1104,I56590836
1105,I165779595
1106,I165779595
1107,I5681781
1108,I129604602
1109,I204824540
1110,I165143802
1111,I99043593
1112,I56590836
1113,I118347636
1114,I165779595
1115,I5681781
1116,I129801699
1117,I165779595
1118,I118347636
1119,I31746571
1120,I165779595
1121,I11701301
1122,I56590836
1123,I165143802
1124,I56590836
1125,I160993911
1126,I31746571
1127,I160993911
1128,I78757542
1129,I56590836
1130,I118347636
1131,I5681781
1132,I99043593
1133,I5681781
1134,I129604602
1135,I165143802
1136,I129604602
1137,I118347636
1138,I165779595
1139,I31746571
1140,I57093077
1141,I165779595
1142,I165143802
1143,I165779595
1144,I165143802
1145,I5681781
1146,I165143802
1147,I129604602
1148,I160993911
1149,I5681781
1150,I5681781
1151,I118347636
1152,I129604602
1153,I165143802
1154,I204824540
1155,I56590836
1156,I165779595
1157,I165779595
1158,I165779595
1159,I118347636
1160,I5681781
1161,I160993911
1162,I129604602
1163,I118347636
1164,I204824540
1165,I165779595
1166,I165143802
1167,I118347636
1168,I57093077
1169,I86695891
1170,I78757542
1171,I165779595
1172,I57093077
1173,I5681781
1174,I31746571
1175,I118347636
1176,I99043593
1177,I31746571
1178,I177877127
1179,I177877127
1180,I118347636
1181,I165779595
1182,I78757542
1183,I118347636
1184,I149704539
1185,I165779595
1186,I31746571
1187,I31746571
1188,I31746571
1189,I165143802
1190,I177877127
1191,I165779595
1192,I31746571
1193,I165779595
1194,I165779595
1195,I56590836
1196,I86467917
1197,I57093077
1198,I118347636
1199,I31746571
1200,I99043593
1201,I165143802
1202,I31746571
1203,I31746571
1204,I217937681
1205,I165779595
1206,I118347636
1207,I217937681
1208,I82951845
1209,I118347636
1210,I31746571
1211,I177877127
1212,I129604602
1213,I56590836
1214,I5681781
1215,I129801699
1216,I5681781
1217,I63525965
1218,I165779595
1219,I99043593
1220,I165143802
1221,I217937681
1222,I165779595
1223,I204824540
1224,I129604602
1225,I196829312
1226,I205640436
1227,I177877127
1228,I177877127
1229,I99043593
1230,I5681781
1231,I114017466
1232,I169541294
1233,I31746571
1234,I31746571
1235,I165779595
1236,I82951845
1237,I160993911
1238,I196829312
1239,I99043593
1240,I5681781
1241,I165779595
1242,I56590836
1243,I99043593
1244,I129604602
1245,I31746571
1246,I57093077
1247,I56590836
1248,I31746571
1249,I99043593
1250,I165143802
1251,I160993911
1252,I56590836
1253,I204824540
1254,I170239107
1255,I56590836
1256,I196021976
1257,I86467917
1258,I165143802
1259,I118347636
1260,I196021976
1261,I165779595
1262,I118347636
1263,I56590836
1264,I118347636
1265,I56590836
1266,I177877127
1267,I11701301
1268,I118347636
1269,I165143802
1270,I56590836
1271,I5681781
1272,I5681781
1273,I149704539
1274,I177877127
1275,I169541294
1276,I56590836
1277,I63525965
1278,I5681781
1279,I56590836
1280,I31746571
1281,I5681781
1282,I5681781
1283,I129604602
1284,I11701301
1285,I196829312
1286,I31746571
1287,I129801699
1288,I11701301
1289,I177877127
1290,I57093077
1291,I217937681
1292,I78757542
1293,I169541294
1294,I165143802
1295,I149704539
1296,I99043593
1297,I129604602
1298,I99043593
1299,I160993911
1300,I149704539
1301,I129801699
1302,I56590836
1303,I56590836
1304,I129604602
1305,I118347636
1306,I165143802
1307,I31746571
1308,I205640436
1309,I165779595
1310,I129801699
1311,I165779595
1312,I56590836
1313,I57093077
1314,I169541294
1315,I165779595
1316,I114017466
1317,I196829312
1318,I165779595
1319,I31746571
1320,I129604602
1321,I165779595
1322,I165143802
1323,I196829312
1324,I196829312
1325,I165143802
1326,I136750679
1327,I57093077
1328,I78757542
1329,I118347636
1330,I31746571
1331,I165779595
1332,I165143802
1333,I165143802
1334,I5681781
1335,I129604602
1336,I149704539
1337,I165143802
1338,I56590836
1339,I196021976
1340,I165143802
1341,I165779595
1342,I1292875679
1343,I196829312
1344,I145902186
1345,I165143802
1346,I177877127
1347,I177877127
1348,I165779595
1349,I165779595
1350,I165779595
1351,I165779595
1352,I77826658
1353,I177877127
1354,I165779595
1355,I165143802
1356,I118347636
1357,I11701301
1358,I78757542
1359,I57093077
1360,I118347636
1361,I129604602
1362,I165779595
1363,I165779595
1364,I114017466
1365,I177877127
1366,I177877127
1367,I196829312
1368,I204824540
1369,I31746571
1370,I56590836
1371,I165779595
1372,I165779595
1373,I196829312
1374,I165143802
1375,I56590836
1376,I114017466
1377,I165143802
1378,I11701301
1379,I1292875679
1380,I165143802
1381,I165779595
1382,I165143802
1383,I170239107
1384,I149704539
1385,I165779595
1386,I57093077
1387,I11701301
1388,I177877127
1389,I82951845
1390,I56590836
1391,I169541294
1392,I129604602
1393,I160993911
1394,I129801699
1395,I177877127
1396,I56590836
1397,I165779595
1398,I57093077
1399,I177877127
1400,I86695891
1401,I165779595
1402,I165779595
1403,I82951845
1404,I165779595
1405,I78757542
1406,I165779595
1407,I129604602
1408,I165143802
1409,I118347636
1410,I165779595
1411,I177877127
1412,I129604602
1413,I114017466
1414,I118347636
1415,I129604602
1416,I165143802
1417,I217937681
1418,I160993911
1419,I99043593
1420,I11701301
1421,I196829312
1422,I56590836
1423,I165143802
1424,I56590836
1425,I204824540
1426,I165143802
1427,I99043593
1428,I99043593
1429,I99043593
1430,I82951845
1431,I165779595
1432,I165143802
1433,I78757542
1434,I129604602
1435,I5681781
1436,I160993911
1437,I196829312
1438,I165143802
1439,I242743682
1440,I118347636
1441,I118347636
1442,I4210150290
1443,I129604602
1444,I165779595
1445,I31746571
1446,I63525965
1447,I99043593
1448,I66809481
1449,I205640436
1450,I129604602
1451,I118347636
1452,I177877127
1453,I196829312
1454,I129604602
1455,I11701301
1456,I82951845
1457,I99043593
1458,I31746571
1459,I118347636
1460,I165143802
1461,I31746571
1462,I56590836
1463,I204824540
1464,I177877127
1465,I5681781
1466,I129604602
1467,I78757542
1468,I57093077
1469,I196021976
1470,I145902186
1471,I165143802
1472,I56590836
1473,I31746571
1474,I205640436
1475,I129604602
1476,I160993911
1477,I149704539
1478,I11701301
1479,I90745801
1480,I129604602
1481,I31746571
1482,I31746571
1483,I118347636
1484,I31746571
1485,I56590836
1486,I56590836
1487,I99043593
1488,I118347636
1489,I56590836
1490,I165143802
1491,I1292875679
1492,I31746571
1493,I196021976
1494,I170239107
1495,I5681781
1496,I129604602
1497,I129801699
1498,I196021976
1499,I4210092543
1500,I114017466
1501,I5681781
1502,I169541294
1503,I56590836
1504,I129604602
1505,I217937681
1506,I165143802
1507,I82951845
1508,I205640436
1509,I5681781
1510,I56590836
1511,I160993911
1512,I165779595
1513,I118347636
1514,I169541294
1515,I129604602
1516,I165143802
1517,I242743682
1518,I118347636
1519,I19514445
1520,I165143802
1521,I165143802
1522,I129604602
1523,I242743682
1524,I86467917
1525,I78757542
1526,I165143802
1527,I177877127
1528,I11701301
1529,I118347636
1530,I142471025
1531,I129604602
1532,I165143802
1533,I99043593
1534,I205640436
1535,I5681781
1536,I165143802
1537,I118347636
1538,I86467917
1539,I169541294
1540,I160993911
1541,I129604602
1542,I11701301
1543,I205640436
1544,I31746571
1545,I56590836
1546,I1328540965
1547,I78757542
1548,I204824540
1549,I31746571
1550,I196021976
1551,I118347636
1552,I1292875679
1553,I11701301
1554,I1292875679
1555,I136750679
1556,I120125038
1557,I2802600346
1558,I31746571
1559,I129604602
1560,I31746571
1561,I31746571
1562,I129604602
1563,I170239107
1564,I129604602
1565,I129801699
1566,I129801699
1567,I31746571
1568,I129801699
1569,I165143802
1570,I56590836
1571,I136750679
1572,I129604602
1573,I165143802
1574,I165779595
1575,I99043593
1576,I78757542
1577,I129604602
1578,I153230381
1579,I5681781
1580,I165779595
1581,I31746571
1582,I129801699
1583,I31746571
1584,I99043593
1585,I118347636
1586,I56590836
1587,I118347636
1588,I129604602
1589,I118347636
1590,I129604602
1591,I56590836
1592,I177877127
1593,I129604602
1594,I165779595
1595,I204824540
1596,I31746571
1597,I5681781
1598,I165143802
1599,I63525965
1600,I149704539
1601,I165779595
1602,I217937681
1603,I31746571
1604,I82951845
1605,I118347636
1606,I174025329
1607,I31746571
1608,I160993911
1609,I31746571
1610,I118347636
1611,I57093077
1612,I31746571
1613,I118347636
1614,I165779595
1615,I177877127
1616,I165143802
1617,I129604602
1618,I118347636
1619,I165143802
1620,I31746571
1621,I160993911
1622,I165143802
1623,I177877127
1624,I56590836
1625,I129604602
1626,I165779595
1627,I177877127
1628,I11701301
1629,I99043593
1630,I56590836
1631,I56590836
1632,I56590836
1633,I165143802
1634,I66809481
1635,I31746571
1636,I82951845
1637,I165143802
1638,I165143802
1639,I204824540
1640,I160993911
1641,I177877127
1642,I165143802
1643,I129801699
1644,I177877127
1645,I165779595
1646,I129604602
1647,I165779595
1648,I169541294
1649,I177877127
1650,I56590836
1651,I31746571
1652,I165143802
1653,I56590836
1654,I99043593
1655,I129604602
1656,I129604602
1657,I188329596
1658,I169541294
1659,I78757542
1660,I129604602
1661,I118347636
1662,I169541294
1663,I129604602
1664,I31746571
1665,I86467917
1666,I56590836
1667,I5681781
1668,I56590836
1669,I118347636
1670,I204824540
1671,I165779595
1672,I19514445
1673,I99043593
1674,I118347636
1675,I19514445
1676,I165143802
1677,I165779595
1678,I129604602
1679,I118347636
1680,I165779595
1681,I129604602
1682,I31746571
1683,I63525965
1684,I99043593
1685,I217937681
1686,I129604602
1687,I118347636
1688,I56590836
1689,I56590836
1690,I56590836
1691,I165143802
1692,I118347636
1693,I114017466
1694,I165143802
1695,I11701301
1696,I129604602
1697,I114017466
1698,I129801699
1699,I118347636
1700,I165779595
1701,I63525965
1702,I57093077
1703,I118347636
1704,I118347636
1705,I165143802
1706,I4210150290
1707,I204824540
1708,I204824540
1709,I149704539
1710,I129801699
1711,I31746571
1712,I165143802
1713,I165779595
1714,I165779595
1715,I118347636
1716,I118347636
1717,I99043593
1718,I114017466
1719,I160993911
1720,I188329596
1721,I118347636
1722,I5681781
1723,I129604602
1724,I205640436
1725,I86467917
1726,I204824540
1727,I129604602
1728,I165779595
1729,I118347636
1730,I56590836
1731,I165779595
1732,I99043593
1733,I165143802
1734,I5681781
1735,I118347636
1736,I5681781
1737,I196021976
1738,I5681781
1739,I56590836
1740,I165779595
1741,I90745801
1742,I31746571
1743,I99043593
1744,I99043593
1745,I31746571
1746,I177877127
1747,I31746571
1748,I118347636
1749,I31746571
1750,I165779595
1751,I160993911
1752,I56590836
1753,I56590836
1754,I188329596
1755,I118347636
1756,I99043593
1757,I242743682
1758,I177877127
1759,I196021976
1760,I31746571
1761,I129604602
1762,I118347636
1763,I56590836
1764,I196021976
1765,I56590836
1766,I78757542
1767,I78757542
1768,I165779595
1769,I31746571
1770,I11701301
1771,I196829312
1772,I31746571
1773,I177877127
1774,I114017466
1775,I129604602
1776,I165143802
1777,I86467917
1778,I57093077
1779,I5681781
1780,I177877127
1781,I129604602
1782,I165143802
1783,I177877127
1784,I56590836
1785,I129801699
1786,I118347636
1787,I196021976
1788,I129604602
1789,I5681781
1790,I56590836
1791,I177877127
1792,I165143802
1793,I177877127
1794,I177877127
1795,I82951845
1796,I114017466
1797,I1292875679
1798,I177877127
1799,I160993911
1800,I177877127
1801,I11701301
1802,I165779595
1803,I78757542
1804,I165143802
1805,I204824540
1806,I63525965
1807,I177877127
1808,I118347636
1809,I165143802
1810,I11701301
1811,I242743682
1812,I1328540965
1813,I165143802
1814,I114017466
1815,I129604602
1816,I5681781
1817,I56590836
1818,I118347636
1819,I196829312
1820,I149704539
1821,I142471025
1822,I165143802
1823,I31746571
1824,I129604602
1825,I165779595
1826,I118347636
1827,I170239107
1828,I196021976
1829,I118347636
1830,I99043593
1831,I118347636
1832,I129604602
1833,I165779595
1834,I165779595
1835,I165143802
1836,I205640436
1837,I99043593
1838,I165143802
1839,I129801699
1840,I56590836
1841,I82951845
1842,I165779595
1843,I196021976
1844,I196021976
1845,I129604602
1846,I5681781
1847,I177877127
1848,I177877127
1849,I56590836
1850,I177877127
1851,I165143802
1852,I165143802
1853,I4210150290
1854,I177877127
1855,I129604602
1856,I99043593
1857,I165779595
1858,I165143802
1859,I11701301
1860,I99043593
1861,I56590836
1862,I165143802
1863,I129604602
1864,I149704539
1865,I165143802
1866,I165779595
