code,scheme-name,funding-commencement-year,scheme-information,current-admin-organisation,announcement-admin-organisation,grant-summary,lead-investigator,current-funding-amount,announced-funding-amount,grant-status,primary-field-of-research,anticipated-end-date,investigators,lief-register,national-interest-test-statement
"FT230100158","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Melbourne","The University of Melbourne","Unlocking Viral Contribution to Terrestrial Nitrogen Cycling. This project aims to investigate how soil viruses steer key nitrogen cycling microorganisms and processes, by utilising emerging approaches of viromes, DNA-stable-isotope probing, and Raman-spectroscopy-based single-cell-sorting technology. This project expects to generate new knowledge in harnessing the potential of soil viruses to improve fertiliser nitrogen use efficiency through manipulating the biological pathways of nitrogen losses from agricultural ecosystems. Expected outcomes of this project include novel and comprehensive evidence for the roles of soil viruses in controlling terrestrial nitrogen cycling processes. This should provide significant benefits to Australian agriculture and environmental management.","A/Prof Hangwei Hu","1071987","955828","Active","4106 - Soil Sciences","2027-12-31","A/Prof Hangwei Hu","","More than 50% of applied fertiliser nitrogen in agriculture is lost to the environment, causing greenhouse gas emissions, biodiversity loss, climate change, and environmental pollution. This project will tackle a major scientific knowledge gap for harnessing the power of soil viruses, the most abundant biological entities on Earth, to control the activities of microorganisms leading to nitrogen losses. This project will create novel evidence for a mechanistic understanding of the roles of soil viruses in controlling nitrogen-cycling process, which provide foundation which future studies can build upon to refine strategies to maximise fertiliser nitrogen use efficiency and reduce nitrogen losses in agriculture. The contribution of increased crop nitrogen use efficiency to the Australian economy are increased profitability of primary production, net value added through agribusiness value chains and reduced social cost through mitigation of potent greenhouse gases such as nitrous oxide. 



"
"FT230100172","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Flinders University","Flinders University","Solar-Driven C-H Functionalization Reactions. This project aims to investigate the functionalization reaction of unreactive C-H bonds using light as the source of energy. Light is a transformative change to synthesis as thermal activation is exchanged to solar activation. The latter gives access to excited state chemistry and enables reaction steps that are thermally inaccessible. It is a key strategy to leverage synthesis to the demands of the 21st century and to minimise its ecologic footprint. At the same time this strategy provides a lever to profoundly impact and drive new concepts in synthesis. Significant benefits are expected, such as increase in fundamental knowledge on photochemical processes, but also the access to new materials for applications as drugs or OLEDs.","Prof Dr Rene Koenigs","0","1083292","Closed","3405 - Organic Chemistry","2023-07-01","Prof Dr Rene Koenigs","","This project will investigate new methods for making organic small molecules for applications as diverse as pharmaceutical products and light emitting organic materials (OLEDS) used in TV sets around the world. The synthesis of such small molecules currently requires energy-demanding thermal processes based on fossil fuels and the use of lengthy sequential synthesis steps, which add to costs and wastes. The research aims to use sunlight as a renewable energy source to synthesise small organic molecules in a new more economic and environmentally benign way. The research will benefit Australia through the commercialisation of the intellectual property (IP) generated, which will be actively pursued through communication of the new IP to the Australian chemical and pharmaceutical industry by the researchers and the University’s commercialisation team for implementation by Australian companies to reduce both costs and wastes normally associated with the production of these materials. This work will therefore benefit both the Australian economy and our environment.
"
"FT230100180","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Monash University","Monash University","Additive Manufacturing of Nanotwinned Titanium Alloys for Critical Use. The project aims to use 3D printing technology to create new titanium alloy components that are substantially lighter and stronger than current versions and therefore highly relevant for high temperature and stress uses in leading-edge industries such as aeroplane manufacture. The project expects to create new means to strengthen and improve the resilience of the commercial alloys’ microstructure with unprecedented in-service performance and thereby substantially broaden the industrial adoptions of 3D-printed products. This should also provide significant cost and environmental benefits and enhance Australia’s international standing in cutting-edge research on advanced manufacturing and materials.","Dr Yuman Zhu","893691","797280","Active","4014 - Manufacturing Engineering","2027-09-16","Dr Yuman Zhu","","The project aims to produce new 3D-printed titanium alloys with unprecedented mechanical attributes for critical uses in aerospace (e.g. aeroplane manufacture), defence and energy industries. To date, 3D-printed titanium alloys still lack the ability to withstand extreme temperatures and stresses, limiting their practical use for producing many valuable components. The project will provide essential knowledge and 3D printing routes to fabricate commercial titanium alloy parts that have novel microstructures and exceptional mechanical properties to resist damage in harsh service environments. This will widen the adoption of cost-effective 3D printing technology enabling it to access to new markets and supply chains, benefit Australia’s local additive manufacturing industry, and improve the environmental performance of Australia's advanced manufacturing sectors."
"FT230100192","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Adelaide University","The University of Adelaide","Photocatalysts for Converting Plastic Wastes into Hydrogen and Chemicals. The aim is to produce new fundamental science for sustainable production of hydrogen and value-added chemicals through a solar-driven photocatalytic approach using abundant plastic wastes and high-performance photocatalysts. A range of active, selective, robust and cheap photocatalysts will be developed for conversion processes at ambient temperatures and pressures, via an interdisciplinary approach combining atomic-level material design principles, in situ/ex situ characterisations and theoretical computations. Expected outcomes will be of high impact for solar energy use, and fuels/chemicals generation. Environmental impact will derive from consuming abundant plastic wastes; helping mitigate plastic contamination of global concern.","Dr Jingrun Ran","951506","848325","Active","4016 - Materials Engineering","2027-12-31","Dr Jingrun Ran","","In Australia, 2.5 million tons of plastic waste are generated every year. But only 13% of these plastic waste are recycled and about 130,000 tons of plastic waste are sent to landfill, polluting the environment and threatening the human health through the food chain transfer. This project will utilise Australia’s ample solar energy to convert plastic waste into clean/carbon-free hydrogen fuel and value-added chemicals, using the clean, environmentally-benign and cost-effective photocatalytic technology. The developed technology will be shared with government agencies responsible for resolving plastic-derived energy and environmental issues. This project will also expand the fundamental knowledge in catalysis and materials science, boost the Australian plastic waste upcycling industry/hydrogen industry, alleviate plastics contamination, and reduce our dependence on non-renewable fossil fuels in Australia. This project will endeavour to alleviate the environmental pollution caused by plastic waste, benefiting the environment and public health in Australia.
"
"FT230100193","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The Australian National University","The Australian National University","Identifying climate-resilient wheat for a warmer, high CO2 world. This project aims to reveal which plant traits help maintain or increase crop yield under the CO2 and temperature conditions predicted for the next few decades, thus providing early insights for generating climate-resilient wheat. Wheat production is vital to global food security, but its yield decreases 5-6% per 1 degree Celsius of warming. Elevated CO2 may offset yield losses, but reduces grain protein and nutrients. As the first study to evaluate Australian wheat performance under the dual pressures of elevated CO2 and temperature, the project will deliver important fundamental knowledge on wheat productivity and quality resilience traits, novel inputs for future breeding programs, and help enable food security in a changing climate.","Prof Danielle Way","1230212","1097322","Active","3199 - Other Biological Sciences","2028-05-01","Prof Danielle Way","","Wheat is a major contributor to Australia’s economy, with an export value of $11.4 billion in 2021/22. Climate change, including rising CO2 and temperature, is predicted to decrease national wheat production by 7.4-15.5% in the next 60 years (translating to grain industry losses of $843M-$1.767B). Elevated CO2 concentrations also reduce grain protein, iron and zinc levels, affecting the crop's nutritional value. This novel project aims to identify the plant traits that promote wheat yield and nutritional quality in a warmer, high-CO2 world. As well as generating breakthrough knowledge on the combined effects of these two climate factors on wheat, the research will benefit Australian breeding programs via early insights of which plant traits and wheat lines will promote high productivity and quality resilience when grown under changing climates. The project’s basic research is a platform for future Australian work to identify the genetic basis of these traits and a transferrable resource for wheat breeders. Outcomes would help protect national wheat production and export income, and enhance food security."
"FT230100203","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Adelaide University","The University of Adelaide","Striving for the path of least herbicide resistance. This project aims to investigate novel strategies to mitigate the rise in herbicide resistance threatening Australian agricultural production and exports. The project expects to pioneer long-term strategies for the development of herbicides that “resist” resistance generation in weeds to prolong their effectiveness. Expected outcomes include advances in the development of single- and multi-target herbicidal compounds with new modes of action, and validation of their potential to yield synergistic combinations and delay the evolution of resistance. This should lay the foundations for significant long-term benefits to farmers and consumers, both in Australia and globally, including increased crop yields and improved food security.","A/Prof Tatiana Soares da Costa","930670","830380","Active","3108 - Plant Biology","2028-06-02","A/Prof Tatiana Soares da Costa","","Weeds represent a major threat to Australia’s $71 billion agricultural industry by drastically reducing the yield and quality of crop plants. Concerningly, Australia ranks second in the world for the largest number of unique herbicide-resistant weeds, yet only one herbicide with a new mode of action has been introduced to the market in the past 40 years. This research will investigate three strategies for designing herbicidal compounds that are less prone to generating resistance in weeds, and therefore remain effective for longer: by identifying new herbicide targets; by developing mixtures of new herbicidal agents to boost efficacy; and by developing herbicides that act against multiple targets in weeds simultaneously. The knowledge generated will contribute to the development of new herbicide technologies. Consequently, the outputs of the project will have long-term social, economic, and environmental benefits, bolstering weed management strategies to improve food production while reducing environmental impact, and pioneering new directions and leadership for globally relevant agricultural research."
"FT230100207","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Macquarie University","Macquarie University","How to Feel Safe at the End of the World. This project aims to provide the first history of how early modern families created conditions to feel safe in times of crisis, revealing how ideas of safety, security and hope for the future were conceived and put into practice. Its innovative research focus explores how histories, personal and national, inform psychosocial conditions of safety and security for families and build resilience within the next generation. Expected outcomes highlight the role of families as agents of historical change and help parents, teachers, children and youth to manage anxiety, build hope and improve life opportunities. This historical perspective on a contemporary problem has the benefit of supporting families struggling with today's changing world.","Prof Katie Barclay","1265405","1128292","Active","4303 - Historical Studies","2028-03-14","Prof Katie Barclay","","Many children and youth in Australia are experiencing a lack of hope about their futures, with a knock-on impact on mental health and well-being. Early modern European communities lived through environmental disasters, war, pandemics and other significant events and found ways to persist and move forward. This project explores and analyses this history as an example of how people have survived, sometimes flourished, during challenging events, and connects it with parents and children today through educational resources. In 2021, UNESCO argued that history was central to ‘projecting future possibility’, while the capacity to imagine a future for oneself is critical to mental health and wellbeing. The historical insights of this project offer different dimensions, examples and resources to equip people to think about a rapidly changing world and how people might build a future within challenging environments. In supporting a conversation about possible futures after crisis amongst young people, their parents and teachers, it contributes to the National Children’s Mental Health and Wellbeing Strategy (2021)."
"FT230100209","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of New South Wales","The University of New South Wales","Multi-variable based vegetation monitoring and prediction during droughts. This project aims to reduce the uncertainties in characterizing and predicting drought impacts on Australian ecosystems. This project is expected to better understand how vegetation responded to hydro-meteorological conditions from the onset to termination stages during Australian droughts in the past 40 years, by investigating the newly developed first global long-term vegetation water content record from satellites. Expected outcomes of this project will be the enhanced capacity to better identify early warning signals and more accurately predict vegetation responses to future droughts. This should provide significant benefits in developing drought mitigation strategies for national agricultural production and water resource allocation.","A/Prof Yi Liu","1031837","919906","Active","3707 - Hydrology","2028-04-30","A/Prof Yi Liu","","In the past decades, we have witnessed the devastating impacts of droughts on ecosystems, and future droughts are projected to be more regular, longer and broader. Tools to better monitor and predict these impacts are urgently required. This project will develop a novel solution to directly monitor vegetation water content from space for Australia on a daily basis. This will overcome many limitations of the traditional observations of vegetation greenness. Its success will provide technological breakthroughs in drought management, particularly more accurate monitoring of how the impacts of drought on ecosystems evolve in time and space, and better identification of early warning signals. The information will allow more timely drought mitigation strategies for agricultural production and water resource allocation to minimize the impacts of potential food shortage on the Australian public, and increase our national security ultimately.                                                                                                                                                                                  "
"FT230100214","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Western Australia","The University of Western Australia","Quantifying kelp carbon and nutrient flows for nature-based solutions . This fellowship aims to resolve carbon removal and nutrient mitigation potential of Australia’s kelp forests now and in future. It will create new understanding of the ecosystem services provided by the Great Southern Reef, and the capacity of kelp forests to provide nature-based solutions to reduce emissions and improve coastal water quality. Using a combination of global models and ecological experiments on kelp forests and their replacement ecosystem states, the fellowship will predict changes in function with warming. This information is critical to determine net ecosystem mitigation potential and will significantly advance our understanding of the potential of kelp forests to generate co-benefits while conserving biodiversity. ","Dr Karen Filbee-Dexter","940506","838627","Active","3103 - Ecology","2028-06-25","Dr Karen Filbee-Dexter","","This fellowship will provide new insight on the nutrient and climate-regulating benefits of Australia’s kelp forests. It will quantify the transport of carbon and nitrogen bound in kelp tissue out of coastal zone and into deep ocean sinks, and predict climate-driven shifts in these pathways. To confront the current climate and environmental crisis, we need to understand all mitigation options, including natural climate solutions from kelp forests. Beyond carbon, this fellowship explores if the removal of nitrogen by kelp forests is significant globally. This will help generate new options for Australia to meet its 2030 emissions reduction targets, while exploring a nature-based solution to improve coastal water quality. The knowledge generated is also required for Australia’s Environmental Economic Accounting activities and Nationally Determined Contributions for coastal ecosystems. Sound understanding of services from kelp forests can facilitate new conservation and restoration efforts that contribute to the UN Sustainable Development Goals: ‘Climate action (SDG13)’ and ‘Life below water (SDG14)’."
"FT230100220","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Melbourne","The University of Melbourne","Engineering a technology platform for organoids. Protein delivery technologies hold great potential to improve organoids (miniature organs used as in vitro models), allowing a deep understanding of development. However, current limitations must be overcome - particularly cost, precision, and efficacy. This project will engineer delivery materials to improve the efficacy of organoids, allowing control over the location and timing of protein delivery.  Outcomes will include a technology platform of immediate use in the agriculture sector and for animal model alternatives. The benefit will be widespread, ensuring the growth and sustainability of our health and agriculture sector. The project will increase public understanding of protein delivery technologies, aiding in technology adoption.","Prof David Nisbet","1218960","1087000","Active","3209 - Neurosciences","2027-11-30","Prof David Nisbet","","A US Act in 2021 allowed alternatives to animal testing to investigate the safety and effectiveness of proteins, permitting new methods for testing pharmaceuticals. Organoids, a new method to examine organ development, are miniature organs engineered from stem cells artificially grown on scaffolding. Yet, current organoid technology is challenged by extreme variability. This project will engineer consistent organoids by developing an innovative tool and technology platform that enable reliable synthetic cell environments. It will improve the efficiency, and broaden the applicability of organoid technology, providing environmental, economic and commercial benefits. Livestock and veterinary research will benefit by phenotyping for optimized breeding stock for the first time: i.e. drought and tick resistance cattle. Also, organoid technology will replace the current standards for testing and reduce the need for animal models in many areas of biomedical research. With mainstream appeal, results will be disseminated through media outlets including TV and radio. 
"
"FT230100229","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Swinburne University of Technology","Swinburne University of Technology","A few-body perspective on polaron physics and polaron interactions. This project aims to develop novel approaches to investigate one of the most celebrated quasiparticles, polarons, and polaron interactions, which plays a critical role in understanding the properties and functionalities of various advanced materials. However, the complexity of real materials poses challenges to a fundamental understanding. This project innovatively applies the clean and controllable cold-atom system to simulate the same physics, where an innovative integration of few-body formalisms will be developed and precisely tested. The new knowledge generated in this project expects to shed new insight into polaron physics and pave the way to engineer polaron-based materials for applications in emergent quantum technologies. 
","Dr JIA WANG","871764","777829","Active","5108 - Quantum Physics","2028-02-29","Dr JIA WANG","","This project investigates the physics of polarons, which describe disturbances to particles when immersed in a quantum environment. Understanding polaron physics is vital for harnessing the quantum properties of advanced materials and enhancing the efficiency and effectiveness for energy harvesting, storage, and transmission processes. By unravelling the quantum nature of materials, this project addresses a critical knowledge gap and unlocks the potential for significant technological advancements. The research offers benefits from research leadership and capacity for Australia's emerging quantum industry, forecast by CSIRO at $2.2B market value and generating 8,000+ jobs by 2030. The project will enable Australia to lead in quantum research and equip the workforce with cutting-edge theoretical modelling and computational skills, fostering a high-level talent pool ready for the quantum industry era. This project aims to ensure practical applicability by facilitating knowledge transfer to the industry sector, enabling the implementation of advanced technologies in energy storage and transportation.
"
"FT230100230","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Queensland","The University of Queensland","Exploring volcanic arcs as factories of critical minerals. Volcanoes at destructive plate boundaries (magmatic arcs) host most global copper deposits, critical for renewable energy and in unprecedented rising demand. This project aims to use high-resolution geochemical zoning of erupted crystals to uncover how magmatic processes lead to copper mineralisation and explosive volcanic eruption in arc volcanoes. The expected outcome is new knowledge on the inner workings of volcanoes and their copper enrichment potential. Anticipated applications are refined exploration targeting for copper and improved volcano hazard assessment. This will benefit the Asia-Pacific region and enhance the capacity of mining companies in the global race to produce metals of the future.","A/Prof Teresa Ubide","1100206","981356","Active","3703 - Geochemistry","2028-06-28","A/Prof Teresa Ubide","","The accelerating renewable energy transformation is putting huge demands on the supply of copper, an excellent conductor of electricity and heat. After millennia of mining copper, all easily accessible deposits are known. The race to find more copper relies on exploration innovation to locate hidden, inaccessible deposits. This project aims to repurpose a technology initially developed to research magma transport, into an exploration tool to find copper. The project will use new, detailed geochemical information locked in individual crystals formed at depth below volcanoes. It is in these plumbing systems where physical processes control whether the magma system becomes mineralised or whether the volcano will catastrophically erupt. The crystal fingerprint could potentially provide a tangible exploration tool to Australian companies searching for copper in ancient magmatic systems in Australia and globally. This will bring economic and environmental benefits to Australia by safeguarding critical mineral security and enabling the energy transition.
"
"FT230100234","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","University of Tasmania","University of Tasmania","The puzzle of landfast sea ice: ‘Fast’ ice and near-term climate impacts. Sea ice which is held motionless against the Antarctic coastline (so-called landfast, or 'fast' ice) is hugely important for global climate and Southern Ocean ecosystems but its extent has recently plummeted. This project will address major knowledge gaps by providing novel satellite-based mapping and analysis of fast ice extent, towards enabling incorporation of fast ice into Australia’s new sea ice-ocean Earth system model for the first time – to allow assessment of its impacts on global ocean circulation and ice shelf melt. Outcomes also include new automated capability for monitoring fast ice extent, analysis of its variability and drivers, and first maps of its thickness and roughness.","Dr Alexander Fraser","1084452","966706","Active","3709 - Physical Geography and Environmental Geoscience","2028-03-31","Dr Alexander Fraser","","Australia has recently endured a La Niña-driven flooding crisis. A slowdown in global ocean circulation, as seen since the 1970s, promotes La Niña conditions. Such circulation is controlled by dense water formation around the edge of Antarctica, and is tightly linked with the presence of landfast (stationary, or 'fast') sea ice, which plummeted to an unprecedented low in 2022. Fast ice also controls sea-level rise by regulating the thickness and stability of ice shelves. Despite its crucial importance, the extent and variability of fast ice are not well known, and critically it is currently not represented in the Australian Climate and Earth System Simulator, known as ACCESS. This project will address these gaps by automating mapping of fast ice from satellite imagery, and incorporating it into the next major iteration of ACCESS. This Fellowship will allow us to assess the climate consequences of a reduction in fast ice extent and weakened ocean circulation for the first time, helping to reduce uncertainties in Australia’s future climate and sea-level rise projections, and inform adaptation strategies.
"
"FT230100235","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Melbourne","The University of Melbourne","Neurobiological mechanisms of the interaction between pain and sleep. The project aims to reveal the brain mechanisms behind the interaction between such fundamental biological phenomena as sleep and pain. This highly interdisciplinary project expects to deliver significant insights into how poor sleep changes the brain to increase pain sensitivity in healthy adults, by combining novel lab-based mechanistic sleep and pain manipulations and naturalistic longitudinal observation. The rich multimodal dataset generated by the project will be made publicly available to enhance research transparency and international collaboration. This should provide significant benefits, ultimately opening up ways to improve quality of life and wellbeing of the Australian population. 
","A/Prof Natalia Egorova-Brumley","1109243","988306","Active","5202 - Biological Psychology","2027-12-31","A/Prof Natalia Egorova-Brumley","","Even a night of poor sleep increases pain sensitivity in healthy people, likely by changing the way the brain processes pain. With 48% of healthy Australians experiencing poor sleep, and the significant financial, economic, and social burden associated with the management of pain, understanding basic brain mechanisms responsible for pain sensitivity induced by poor sleep is the first step towards solutions to this problem of national significance. This could occur by discovering specific brain regions and networks that could be targeted with brain stimulation to reduce sleep-induced pain sensitivity.  New insights from the project on how the brain changes due to poor sleep affecting pain sensitivity could likely contribute to significantly improved economic, health and social benefits to the Australian community. We will collaborate with media outlets and advocacy groups such as the Sleep Health Foundation and Painaustralia, to communicate findings, reaching both the general public and healthcare professionals.
"
"FT230100237","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The Australian National University","The Australian National University","Strengthening political representation in an era of democratic change. This project aims to understand and strengthen how politicians represent their constituents. As trust in politics declines, there is more pressure on politicians to engage with citizens. Understanding how these demands are reshaping the representative work of politicians is crucial to building trust and legitimacy in modern democracies. By interviewing and observing Australian politicians, this research will build important knowledge about the dynamics, demands and practices of contemporary representation. A national and international audit of novel ways to engage constituents will lead to valuable resources that politicians and citizens can use to assess and improve representative relationships, enabling stronger democratic institutions.
","Prof Carolyn Hendriks","1241255","1106107","Active","4408 - Political Science","2029-06-28","Prof Carolyn Hendriks","","Effective and informed political representation is crucial in modern democracy, but links between politicians and citizens are under strain as trust in politics declines. Using interviews and observations, this project will examine how newly elected Australian federal politicians learn and practise representation. Furthermore, a national and international audit will identify innovative ways politicians can engage with citizens, and inform programs and resources that support the representative work of politicians. Through stakeholder interaction and global collaboration, the project will develop significant knowledge on effective strategies to strengthen political representation, which will feed into initiatives to boost diversity and trust in democratic institutions. In addition to transforming our understanding of representation, findings will be used to develop new online resources for politicians and citizens to understand and strengthen connections between each other, and ‘classroom-ready’ tools for Australian students to demonstrate the diverse ways politicians and citizens can positively work together."
"FT230100240","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Sydney","The University of Sydney","A Varied Diet, Ageing, and the Evolution of Life Histories. This research aims to understand how nutritional environments affect lifespan and its evolution. The expected outcomes are improved knowledge around the biology of ageing including the identification of diet-responsive genes and biological pathways. These elements will comprise targets for future applied studies on ageing, metabolic dysfunction and personalised nutrition. This study will also inform as to how lifespans evolve. Because lifespan is a fundamental demographic trait, this knowledge will improve ability to predict how populations adapt to environmental change. Lastly, through methodological innovation this project will also provide new statistical tools for studying how treatments affect the risk of death age specifically.","Dr Alistair Senior","1058142","944049","Active","3104 - Evolutionary Biology","2028-06-27","Dr Alistair Senior","","Currently 1 in 6 Australians are aged 65+, and this demographic is expected to increase. Ageing brings reduced function and is the major risk factor for most non-communicable diseases. Improvements in diet can slow ageing, improve health, and maintain function into late life, offsetting the societal and economic costs of an ageing population by delaying the onset of increased care requirements. This project will identify how nutrition interacts with genes to determine lifespan and generate new knowledge about the diet-responsive pathways that underpin the ageing process itself. The outcomes of this research will form the basis for pre-clinical nutritional trials on ageing and age-related diseases, and targeted epidemiological studies on late-life health and lifespan in Australians. As well as biological knowledge, this research will develop new statistical tools that can be used to better study the effects of many anti-ageing interventions. Declining health with age is a burden faced by all Australians, which the results of this program will help to alleviate by improving quality of life in old age.
"
"FT230100243","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","Queensland University of Technology","Queensland University of Technology","Energy Neutral Anthropogenic Nitrogen Management. This project aims to develop an innovative energy-neutral biological ammonium management strategy based on a novel anaerobic ammonia oxidation pathway. Ammonium-rich waste streams from urban and agricultural settings are a major cause of eutrophication and impose severe environmental burdens to human and ecological health. This project is expected to fundamentally change how we manage ammonium pollution, and will have immediate applicability to engineered bioreactors systems. This will provide significant benefits in supporting a wide range of industries that struggle with finding affordable and net-zero ways to manage ammonium wastes, providing an important step to reach global net-zero carbon emissions.","Prof Yang Liu","1245671","1111200","Active","4011 - Environmental Engineering","2028-01-31","Prof Yang Liu","","Globally, and in Australia, wastewater treatment is energy intensive and costly to operate and maintain. To provide a sense of scale, energy consumption by the wastewater sector accounts for some 1-4% of the national electricity load, most just to aerate sewage for biological reduction of organics and ammonia. Striving to meet 2050 sustainable development goals, wastewater treatment plant managers are determined to achieve net-zero emissions over the next decade. However, it is unlikely that energy-neutral wastewater treatment can be achieved without innovative ammonium management. This project aims to develop an energy-neutral ammonia management strategy using innovative biological processes. Research outcomes will have immediate applications and commercial potential in sectors such as local government, agriculture, mining, food processing, and landfills. Hence, this project will empower billion-dollar industries grappling with ammonia-related challenges while potentially reducing global greenhouse gas emissions by around 1%.
"
"FT230100249","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Sydney","The University of Sydney","Programming physical and biological cues to promote vessel growth . This project aims to engineer new hydrogel-based biomaterials that allow spatio-temporal modulation of physical and biological cues to direct blood vessels growth, as well as compatible with advanced bioprinting platforms. It will generate new knowledge in biomaterials, biofabrication and advanced material processing. Expected outcomes include new knowledge in biomaterial-vascular interaction, novel vascular bioinks, cross-disciplinary, international collaboration and research training. This project will provide significant benefit to Australia's scholarly output and reputation, as well as long term benefits to biomedical, veterinary and cosmetic through new materials and cutting-edge manufacturing platforms.  ","Prof Khoon Lim","1089218","970566","Active","4003 - Biomedical Engineering","2028-01-07","Prof Khoon Lim","","The performance of implantable biomaterials is currently limited by their poor integration with the host, mainly due to ineffective blood vessel growth which hinders their long-term function. This project will engineer biomaterials to direct blood vessel growth, by designing materials with specific properties to control how cells react to them, in order to address this unmet challenge. The project outcomes will catalyse the development of next generation biomaterials that are not limited to blood vessels, but also have other applications including tissue engineering, regenerative medicine, tissue models, disease modelling and drug discovery. As the demand for biomaterials usage has increased globally, with a market size poised to reach $249 billion by 2028, this is a key area of investment for Australian research and materials industries. This project is expected to lead to future commercial benefits in economic priority areas of high-value advanced manufacturing and high-performance materials, through technology licensing and transfer to existing and new industry partners.
"
"FT230100251","ARC Future Fellowships","2023","schemeCode: FT   ^ program: Discovery ^ submissionYear: 2022 ^ roundNumber: 1 ^ schemeRound: FT23 Round 1","The University of Queensland","The University of Queensland","Solar driven methane conversion for green methanol production. This project aims to develop advanced photoelectrode materials for solar driven methane partial oxidation to produce methanol. The key concepts are to develop new semiconductor devices and alloy metal cocatalysts in solving the slow charge and mass transfer challenges in catalytic methane partial oxidation reactions. The expected outcomes include ground-breaking approaches for catalytic materials design, efficient solar fuel production and cutting-edge knowledge on methane activation mechanism. The program is aligned with Australia’s Net-Zero Emission 2050 target, representing an innovative pathway in converting greenhouse gases into valuable chemicals, which will bring environmental and economic benefits to Australia.","Dr Zhiliang Wang","938579","830715","Active","4016 - Materials Engineering","2028-01-14","Dr Zhiliang Wang","","Australia’s prosperity in coal mining and livestock is driving a dangerous acceleration in methane emission, a greenhouse gas with 25-fold greater heat trap capability than carbon dioxide. An urgent solution is needed to ensure Australia can meet its Net Zero target while maintaining the strong economic benefit of these industries. This project aims to deliver a technology for converting methane into methanol using sunlight. Methanol, also known as liquid sunshine, is a promising green fuel that has the potential to replace fossil fuels. However, over 90% of Australia’s methanol is imported from overseas at significant cost. Success of this project will enable green methanol to be produced locally using Australia’s abundant solar energy and methane sources. The development of this sovereign capability will ensure Australia has a safe energy net with a stable supply chain of green fuel. The expected outcomes have the potential to broaden adoption of green methanol in numerous industries, reducing greenhouse gas emissions and contributing to the Australian Government’s 2030 Emission Reduction Target.
"
