row_id,AwardNumber,PrincipalInvestigator,OrganizationState,inst_name,host_openalex_id,matched_name,method,source,jaccard,cover,type,productivity,ror
23,"=""0091664""",Donald F Becker,MO,University of Missouri-Saint Louis,I208333798,University of Missouri–St. Louis,override,manual,,,,,
24,"=""0091773""",Hudson Turner,MN,University of Minnesota-Twin Cities,I130238516,University of Minnesota,exact,prior,,,,,https://ror.org/017zqws13
25,"=""0091815""",Avrom Pfeffer,MA,Harvard University,I136199984,Harvard University,exact,prior,,,,,https://ror.org/03vek6s52
26,"=""0092054""",P Shiv Halasyamani,TX,University of Houston,I44461941,University of Houston,exact,prior,,,,,https://ror.org/048sx0r50
27,"=""0092065""",Ross T Whitaker,UT,University of Utah,I223532165,University of Utah,exact,prior,,,,,https://ror.org/03r0ha626
28,"=""0092086""",Peidong Yang,CA,University of California-Berkeley,I95457486,"University of California, Berkeley",exact,prior,,,,,https://ror.org/01an7q238
29,"=""0092145""",William H Sandholm,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,prior,,,,,https://ror.org/01y2jtd41
30,"=""0092165""",Sandor J Kovacs,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
31,"=""0092187""",Laura Langer,AZ,University of Arizona,I138006243,University of Arizona,exact,prior,,,,,https://ror.org/03m2x1q45
32,"=""0092215""",Jeehiun K Lee,NJ,Rutgers University New Brunswick,I102322142,"Rutgers, The State University of New Jersey",fuzzy,duckdb,0.6,1.0,education,220207.0,05vt9qd57
33,"=""0092308""",Christopher G Healey,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
34,"=""0092312""",Frank J Loge,WA,Washington State University,I72951846,Washington State University,exact,prior,,,,,https://ror.org/05dk0ce17
35,"=""0092406""",Joachim L Grenestedt,PA,Lehigh University,I186143895,Lehigh University,exact,prior,,,,,https://ror.org/012afjb06
36,"=""0092434""",Steven T Diver,NY,SUNY at Buffalo,I63190737,"University at Buffalo, State University of New York",exact,prior,,,,,https://ror.org/01y64my43
37,"=""0092450""",Jeffrey Davis,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,prior,,,,,https://ror.org/01zkghx44
38,"=""0092452""",Rick O Gilmore,PA,Pennsylvania State Univ University Park,I130769515,Pennsylvania State University,exact,prior,,,,,https://ror.org/04p491231
39,"=""0092459""",Darryl E Granger,IN,Purdue Research Foundation,I4210088921,Purdue Research Foundation,exact,duckdb,1.0,1.0,nonprofit,37.0,007n03h88
40,"=""0092463""",Jeanne VanBriesen,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
41,"=""0092480""",Anne P Hillstrom,TX,University of Texas at Arlington,I189196454,The University of Texas at Arlington,fuzzy,prior,,,,,https://ror.org/019kgqr73
42,"=""0092482""",Jennifer K Ryan,IN,Purdue Research Foundation,I4210088921,Purdue Research Foundation,exact,duckdb,1.0,1.0,nonprofit,37.0,007n03h88
43,"=""0092491""",Kristin J Dana,NJ,Rutgers University New Brunswick,I102322142,"Rutgers, The State University of New Jersey",fuzzy,duckdb,0.6,1.0,education,220207.0,05vt9qd57
44,"=""0092502""",Andre F Palmer,DC,Howard University,I137853757,Howard University,exact,prior,,,,,https://ror.org/05gt1vc06
45,"=""0092527""",Kathleen A Pickering,CO,Colorado State University,I92446798,Colorado State University,exact,prior,,,,,https://ror.org/03k1gpj17
46,"=""0092530""",Nikhilesh Chawla,AZ,Arizona State University,I55732556,Arizona State University,exact,prior,,,,,https://ror.org/03efmqc40
47,"=""0092532""",Jun Zhang,KY,University of Kentucky Research Foundation,I143302722,University of Kentucky,exact,prior,,,,,https://ror.org/02k3smh20
48,"=""0092535""",Tim Lieuwen,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,prior,,,,,https://ror.org/01zkghx44
49,"=""0092552""",Linda M Wills,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,prior,,,,,https://ror.org/01zkghx44
50,"=""0092586""",Robert M Young,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
51,"=""0092591""",Peter R Wurman,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
52,"=""0092593""",Jose M Vidal,SC,University of South Carolina at Columbia,I155781252,University of South Carolina,fuzzy,duckdb,1.0,1.0,education,87401.0,02b6qw903
53,"=""0092598""",Andrew C Singer,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
54,"=""0092602""",Joanna Millunchick,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
55,"=""0092603""",Helen M Chamberlin,OH,Ohio State University Research Foundation -DO NOT USE,I52357470,The Ohio State University,override,manual,,,,,
56,"=""0092605""",Eric L Chown,ME,Bowdoin College,I135474949,Bowdoin College,exact,prior,,,,,https://ror.org/03gh96r95
57,"=""0092610""",Elizabeth A Davis,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
58,"=""0092621""",Karen Lozano,TX,The University of Texas Rio Grande Valley,I2802326326,The University of Texas Rio Grande Valley,exact,prior,,,,,https://ror.org/02p5xjf12
59,"=""0092627""",John C Lusth,ID,Boise State University,I120156002,Boise State University,exact,prior,,,,,https://ror.org/02e3zdp86
60,"=""0092642""",Bruce A Hungate,AZ,Northern Arizona University,I203172682,Northern Arizona University,exact,prior,,,,,https://ror.org/0272j5188
61,"=""0092647""",Joel J Ducoste,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
62,"=""0092648""",Bruce L Sherin,IL,Northwestern University,I111979921,Northwestern University,exact,prior,,,,,https://ror.org/000e0be47
63,"=""0092655""",Javier Pena,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
64,"=""0092664""",Song-Chun Zhu,OH,Ohio State University Research Foundation -DO NOT USE,I52357470,The Ohio State University,override,manual,,,,,
65,"=""0092665""",Farhad A Jaberi,MI,Michigan State University,I87216513,Michigan State University,exact,prior,,,,,https://ror.org/05hs6h993
66,"=""0092666""",Harley T Johnson,MA,Trustees of Boston University,I111088046,Boston University,exact,prior,,,,,https://ror.org/05qwgg493
67,"=""0092668""",Daniel Kuchma,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
68,"=""0092669""",Vicki E Jones,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
69,"=""0092672""",Allen W Song,NC,Duke University,I170897317,Duke University,exact,prior,,,,,https://ror.org/00py81415
70,"=""0092678""",Srinivasan Seshan,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
71,"=""0092682""",Jose N Kutz,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
72,"=""0092693""",Leslie B Vosshall,NY,Rockefeller University,I83399316,Rockefeller University,exact,duckdb,1.0,1.0,education,39200.0,0420db125
73,"=""0092696""",Christoforos Hadjicostis,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
74,"=""0092699""",Jiang Shaoyi,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
75,"=""0092701""",Lonnie D Shea,IL,Northwestern University,I111979921,Northwestern University,exact,prior,,,,,https://ror.org/000e0be47
76,"=""0092703""",Hongwei Xi,OH,University of Cincinnati,I63135867,University of Cincinnati,exact,duckdb,1.0,1.0,education,113395.0,01e3m7079
77,"=""0092704""",Philip Camill,MN,Carleton College,I188497080,Carleton College,exact,prior,,,,,https://ror.org/03jep7677
78,"=""0092716""",Katsuo Kurabayashi,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
79,"=""0092724""",Sandeep S Kulkarni,MI,Michigan State University,I87216513,Michigan State University,exact,prior,,,,,https://ror.org/05hs6h993
80,"=""0092726""",Cagliyan Kurdak,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
81,"=""0092733""",Rebecca Kohn,PA,Ursinus College,I177753169,Ursinus College,exact,prior,,,,,https://ror.org/02jqn4a25
82,"=""0092737""",Allison Druin,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,prior,,,,,https://ror.org/047s2c258
83,"=""0092739""",Hoe I Ling,NY,Columbia University,I78577930,Columbia University,exact,prior,,,,,https://ror.org/00hj8s172
84,"=""0092740""",Sanjay J Patel,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
85,"=""0092746""",Eric Knuth,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,prior,,,,,https://ror.org/01y2jtd41
86,"=""0092750""",Holavanahalli S Udaykumar,IA,University of Iowa,I126307644,University of Iowa,exact,prior,,,,,https://ror.org/036jqmy94
87,"=""0092753""",Todd Holmes,NY,New York University,I57206974,New York University,exact,prior,,,,,https://ror.org/0190ak572
88,"=""0092756""",Jonah D Erlebacher,MD,Johns Hopkins University,I145311948,Johns Hopkins University,exact,prior,,,,,https://ror.org/00za53h95
89,"=""0092758""",Joseph M Reinhardt,IA,University of Iowa,I126307644,University of Iowa,exact,prior,,,,,https://ror.org/036jqmy94
90,"=""0092760""",Shaowei Chen,IL,Southern Illinois University at Carbondale,I110378019,Southern Illinois University Carbondale,exact,prior,,,,,https://ror.org/049kefs16
91,"=""0092761""",Stephen D Scott,NE,University of Nebraska-Lincoln,I114395901,University of Nebraska–Lincoln,exact,prior,,,,,https://ror.org/043mer456
92,"=""0092770""",Guohong Cao,PA,Pennsylvania State Univ University Park,I130769515,Pennsylvania State University,exact,prior,,,,,https://ror.org/04p491231
93,"=""0092780""",Alok Gupta,CT,University of Connecticut,I140172145,University of Connecticut,exact,prior,,,,,https://ror.org/02der9h97
94,"=""0092784""",Theodore D Pedersen,MN,University of Minnesota-Twin Cities,I130238516,University of Minnesota,exact,prior,,,,,https://ror.org/017zqws13
95,"=""0092786""",Germano S Iannacchione,MA,Worcester Polytechnic Institute,I107077323,Worcester Polytechnic Institute,exact,prior,,,,,https://ror.org/05ejpqr48
96,"=""0092792""",Bridget R Rogers,TN,Vanderbilt University,I200719446,Vanderbilt University,exact,prior,,,,,https://ror.org/02vm5rt34
97,"=""0092805""",Sara A McComb,MA,University of Massachusetts Amherst,I24603500,University of Massachusetts Amherst,exact,prior,,,,,https://ror.org/0072zz521
98,"=""0092806""",Samrat Bhattacharjee,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,prior,,,,,https://ror.org/047s2c258
99,"=""0092831""",Sasha A Barab,IN,Indiana University,I592451,Indiana University,exact,prior,,,,,https://ror.org/01kg8sb98
100,"=""0092832""",Eric Rotenberg,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
101,"=""0092839""",Daniel Andresen,KS,Kansas State University,I189590672,Kansas State University,exact,prior,,,,,https://ror.org/05p1j8758
102,"=""0092840""",Remzi H Arpaci-Dusseau,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,prior,,,,,https://ror.org/01y2jtd41
103,"=""0092849""",Gustavo Gioia,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
104,"=""0092851""",Francis L de los Reyes,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
105,"=""0092854""",Philip M Kaminsky,CA,University of California-Berkeley,I95457486,"University of California, Berkeley",exact,prior,,,,,https://ror.org/01an7q238
106,"=""0092867""",Hussain Al-Asaad,CA,University of California-Davis,I84218800,"University of California, Davis",exact,prior,,,,,https://ror.org/05rrcem69
107,"=""0092873""",Douglas J Emlen,MT,University of Montana,I6750721,University of Montana,exact,prior,,,,,https://ror.org/0078xmk34
108,"=""0092874""",Christopher O Jaynes,KY,University of Kentucky Research Foundation,I143302722,University of Kentucky,exact,prior,,,,,https://ror.org/02k3smh20
109,"=""0092901""",ERCHIN SERPEDIN,TX,Texas A&M Engineering Experiment Station,I4391767840,Texas A&M Engineering Experiment Station,exact,prior,,,,,https://ror.org/03p8qrw52
110,"=""0092907""",Steven A Cummer,NC,Duke University,I170897317,Duke University,exact,prior,,,,,https://ror.org/00py81415
111,"=""0092908""",Laura A Katz,MA,Smith College,I202524275,Smith College,exact,prior,,,,,https://ror.org/0497crr92
112,"=""0092914""",Wallapak Tavanapong,IA,Iowa State University,I173911158,Iowa State University,exact,prior,,,,,https://ror.org/04rswrd78
113,"=""0092921""",Adrienne T Cooper,SC,University of South Carolina at Columbia,I155781252,University of South Carolina,fuzzy,duckdb,1.0,1.0,education,87401.0,02b6qw903
114,"=""0092938""",Jose Holguin-Veras,NY,CUNY City College,I125687163,City College of New York,override,manual,,,,,
115,"=""0092939""",Brian D Fields,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
116,"=""0092940""",Kathleen P Howard,PA,Swarthmore College,I118020396,Swarthmore College,exact,duckdb,1.0,1.0,education,8164.0,012dg8a96
117,"=""0092945""",David E Evans,VA,University of Virginia Main Campus,I51556381,University of Virginia,exact,prior,,,,,https://ror.org/0153tk833
118,"=""0092953""",Jeffrey P Carpenter,VT,Middlebury College,I195575238,Middlebury College,exact,prior,,,,,https://ror.org/0217hb928
119,"=""0092955""",Dan Suciu,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
120,"=""0092962""",Mark P Foster,OH,Ohio State University Research Foundation -DO NOT USE,I52357470,The Ohio State University,override,manual,,,,,
121,"=""0092967""",Lynn M Walker,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
122,"=""0092970""",Zoran Popovic,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
123,"=""0092971""",Elizabeth D Mynatt,GA,Georgia Tech Research Corporation,I130701444,Georgia Institute of Technology,exact,prior,,,,,https://ror.org/01zkghx44
124,"=""0092972""",Garud N Iyengar,NY,Columbia University,I78577930,Columbia University,exact,prior,,,,,https://ror.org/00hj8s172
125,"=""0092973""",David P Luebke,VA,University of Virginia Main Campus,I51556381,University of Virginia,exact,prior,,,,,https://ror.org/0153tk833
126,"=""0092978""",Mohammed J Zaki,NY,Rensselaer Polytechnic Institute,I165799507,Rensselaer Polytechnic Institute,exact,prior,,,,,https://ror.org/01rtyzb94
127,"=""0092985""",Stephanie A Guerlain,VA,University of Virginia Main Campus,I51556381,University of Virginia,exact,prior,,,,,https://ror.org/0153tk833
128,"=""0092986""",Harlan B Russell,SC,Clemson University,I8078737,Clemson University,exact,prior,,,,,https://ror.org/037s24f05
129,"=""0092995""",Tohren C Kibbey,OK,University of Oklahoma Norman Campus,I8692664,University of Oklahoma,fuzzy,duckdb,1.0,1.0,education,77212.0,02aqsxs83
130,"=""0093000""",Sonya J Franklin,IA,University of Iowa,I126307644,University of Iowa,exact,prior,,,,,https://ror.org/036jqmy94
131,"=""0093003""",Erik Sontheimer,IL,Northwestern University,I111979921,Northwestern University,exact,prior,,,,,https://ror.org/000e0be47
132,"=""0093012""",Yin-Long Qiu,MA,University of Massachusetts Amherst,I24603500,University of Massachusetts Amherst,exact,prior,,,,,https://ror.org/0072zz521
133,"=""0093014""",Jorge Vivanco,CO,Colorado State University,I92446798,Colorado State University,exact,prior,,,,,https://ror.org/03k1gpj17
134,"=""0093016""",Mark Craven,WI,University of Wisconsin-Madison,I135310074,University of Wisconsin–Madison,exact,prior,,,,,https://ror.org/01y2jtd41
135,"=""0093020""",Krishna R Narayanan,TX,Texas A&M Engineering Experiment Station,I4391767840,Texas A&M Engineering Experiment Station,exact,prior,,,,,https://ror.org/03p8qrw52
136,"=""0093029""",Daniele Micciancio,CA,University of California-San Diego,I36258959,University of California San Diego,exact,prior,,,,,https://ror.org/0168r3w48
137,"=""0093039""",David A Bader,NM,University of New Mexico,I169521973,University of New Mexico,exact,prior,,,,,https://ror.org/05fs6jp91
138,"=""0093042""",Michael S Hsiao,NJ,Rutgers University New Brunswick,I102322142,"Rutgers, The State University of New Jersey",fuzzy,duckdb,0.6,1.0,education,220207.0,05vt9qd57
139,"=""0093044""",Todd M Austin,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
140,"=""0093047""",Jason Nieh,NY,Columbia University,I78577930,Columbia University,exact,prior,,,,,https://ror.org/00hj8s172
141,"=""0093051""",Tara M Madhyastha,CA,University of California-Santa Cruz,I185103710,"University of California, Santa Cruz",exact,prior,,,,,https://ror.org/03s65by71
142,"=""0093059""",Jignesh M Patel,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
143,"=""0093065""",Alexander C Russell,CT,University of Connecticut,I140172145,University of Connecticut,exact,prior,,,,,https://ror.org/02der9h97
144,"=""0093069""",Jennifer A Swift,DC,Georgetown University,I184565670,Georgetown University,exact,prior,,,,,https://ror.org/05vzafd60
145,"=""0093072""",Nancy S Pollard,RI,Brown University,I27804330,Brown University,exact,prior,,,,,https://ror.org/05gq02987
146,"=""0093076""",Michael J Solomon,MI,Regents of the University of Michigan - Ann Arbor,I27837315,University of Michigan,exact,prior,,,,,https://ror.org/00jmfr291
147,"=""0093080""",Anindya Banerjee,NJ,Stevens Institute of Technology,I108468826,Stevens Institute of Technology,exact,prior,,,,,https://ror.org/02z43xh36
148,"=""0093082""",Mahmut T Kandemir,PA,Pennsylvania State Univ University Park,I130769515,Pennsylvania State University,exact,prior,,,,,https://ror.org/04p491231
149,"=""0093085""",VIJAYKRISHNAN NARAYANAN,PA,Pennsylvania State Univ University Park,I130769515,Pennsylvania State University,exact,prior,,,,,https://ror.org/04p491231
150,"=""0093091""",Charles F Gammie,IL,University of Illinois at Urbana-Champaign,I157725225,University of Illinois Urbana-Champaign,exact,duckdb,1.0,1.0,education,295741.0,047426m28
151,"=""0093093""",Walter M Stroup,UT,University of Utah,I223532165,University of Utah,exact,prior,,,,,https://ror.org/03r0ha626
152,"=""0093100""",Robert L Givan,IN,Purdue Research Foundation,I4210088921,Purdue Research Foundation,exact,duckdb,1.0,1.0,nonprofit,37.0,007n03h88
153,"=""0093101""",Gregory D Buckner,NC,North Carolina State University,I137902535,North Carolina State University,exact,prior,,,,,https://ror.org/04tj63d06
154,"=""0093102""",Vikram Jandhyala,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
155,"=""0093104""",Radu Marculescu,PA,Carnegie Mellon University,I74973139,Carnegie Mellon University,exact,prior,,,,,https://ror.org/05x2bcf33
156,"=""0093105""",Ilya Pollak,IN,Purdue Research Foundation,I4210088921,Purdue Research Foundation,exact,duckdb,1.0,1.0,nonprofit,37.0,007n03h88
157,"=""0093110""",Donald Yeung,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,prior,,,,,https://ror.org/047s2c258
158,"=""0093111""",Elizabeth Varki,NH,University of New Hampshire,I161057412,University of New Hampshire,exact,prior,,,,,https://ror.org/01rmh9n78
159,"=""0093114""",Tommy R Guess,VA,University of Virginia Main Campus,I51556381,University of Virginia,exact,prior,,,,,https://ror.org/0153tk833
160,"=""0093116""",Walid G Aref,IN,Purdue University,I219193219,Purdue University West Lafayette,override,manual,,,,,
161,"=""0093117""",Sanjeev Khanna,PA,University of Pennsylvania,I79576946,University of Pennsylvania,exact,prior,,,,,https://ror.org/00b30xv10
162,"=""0093129""",Johannes G Khinast,NJ,Rutgers University New Brunswick,I102322142,"Rutgers, The State University of New Jersey",fuzzy,duckdb,0.6,1.0,education,220207.0,05vt9qd57
163,"=""0093131""",Javed A Aslam,NH,Dartmouth College,I107672454,Dartmouth College,exact,prior,,,,,https://ror.org/049s0rh22
164,"=""0093137""",Haralabos C Papadopoulos,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,prior,,,,,https://ror.org/047s2c258
165,"=""0093139""",Adrian Sandu,MI,Michigan Technological University,I11957088,Michigan Technological University,exact,prior,,,,,https://ror.org/0036rpn28
166,"=""0093140""",Matthew Franklin,CA,University of California-Davis,I84218800,"University of California, Davis",exact,prior,,,,,https://ror.org/05rrcem69
167,"=""0093142""",Satyandra K Gupta,MD,"University of Maryland, College Park",I66946132,"University of Maryland, College Park",exact,prior,,,,,https://ror.org/047s2c258
168,"=""0093143""",Valery Kiryukhin,NJ,Rutgers University New Brunswick,I102322142,"Rutgers, The State University of New Jersey",fuzzy,duckdb,0.6,1.0,education,220207.0,05vt9qd57
169,"=""0093144""",Tarek F Abdelzaher,VA,University of Virginia Main Campus,I51556381,University of Virginia,exact,prior,,,,,https://ror.org/0153tk833
170,"=""0093149""",Rhonda R Snook,NV,University of Nevada Las Vegas,I133999245,"University of Nevada, Las Vegas",exact,prior,,,,,https://ror.org/0406gha72
171,"=""0093154""",Giovanni Zangari,AL,University of Alabama Tuscaloosa,I17301866,University of Alabama,fuzzy,duckdb,1.0,1.0,education,65875.0,03xrrjk67
172,"=""0093156""",Zhi D Chen,KY,University of Kentucky Research Foundation,I143302722,University of Kentucky,exact,prior,,,,,https://ror.org/02k3smh20
173,"=""0093157""",Klaus Mueller,NY,SUNY at Stony Brook,I59553526,Stony Brook University,exact,prior,,,,,https://ror.org/05qghxh33
174,"=""0093163""",Elza Erkip,NY,Polytechnic University of New York,I57206974,New York University,override,manual,,,,,
175,"=""0093164""",J E Loehr,MO,University of Missouri-Columbia,I76835614,University of Missouri,exact,prior,,,,,https://ror.org/02ymw8z06
176,"=""0093166""",Rich Wolski,TN,University of Tennessee Knoxville,I75027704,University of Tennessee at Knoxville,fuzzy,prior,,,,,https://ror.org/020f3ap87
177,"=""0093168""",Wenfei Fan,PA,Temple University,I84392919,Temple University,exact,prior,,,,,https://ror.org/00kx1jb78
178,"=""0093170""",Bing Zhang,TX,University of Texas at Austin,I86519309,The University of Texas at Austin,fuzzy,prior,,,,,https://ror.org/00hj54h04
179,"=""0093172""",Benjamin A Watson,IL,Northwestern University,I111979921,Northwestern University,exact,prior,,,,,https://ror.org/000e0be47
180,"=""0093174""",Gleb N Naumovich,NY,Polytechnic University of New York,I57206974,New York University,override,manual,,,,,
181,"=""0093176""",Zhong-Ping Jiang,NY,Polytechnic University of New York,I57206974,New York University,override,manual,,,,,
182,"=""0093179""",Onur G Guleryuz,NY,Polytechnic University of New York,I57206974,New York University,override,manual,,,,,
183,"=""0093187""",Radha Poovendran,WA,University of Washington,I201448701,University of Washington,exact,prior,,,,,https://ror.org/00cvxb145
184,"=""0093191""",Marianne C Nyman,NY,Rensselaer Polytechnic Institute,I165799507,Rensselaer Polytechnic Institute,exact,prior,,,,,https://ror.org/01rtyzb94
185,"=""0093192""",Erik A Lundquist,KS,University of Kansas Center for Research Inc,I146416000,University of Kansas,override,manual,,,,,
186,"=""0093204""",Samuel Bentley,LA,Louisiana State University,I121820613,Louisiana State University,exact,prior,,,,,https://ror.org/05ect4e57
187,"=""0093208""",Marina Vannucci,TX,Texas A&M Research Foundation,I91045830,Texas A&M University,fuzzy,duckdb,0.75,1.0,education,207099.0,01f5ytq51
188,"=""0093210""",Jianshu Cao,MA,Massachusetts Institute of Technology,I63966007,Massachusetts Institute of Technology,exact,prior,,,,,https://ror.org/042nb2s44
189,"=""0093215""",Javier Garcia-Frias,DE,University of Delaware,I86501945,University of Delaware,exact,prior,,,,,https://ror.org/01sbq1a82
190,"=""0093217""",Michael R Geller,GA,University of Georgia Research Foundation Inc,I4387153128,University of Georgia Research Foundation,exact,prior,,,,,https://ror.org/04sqkw483
