rid,eu_name,authorid,match_type,host_id,source,n_papers,host,yes_or_no
917,Andrea Bertotti,A5031287599,exact,I55143463,round4_semtie,403,University of Turin,
955,Vincent Wilfred Vishal-Kapoor Jaddoe,A5012921360,fuzzy,I2801952686,round4_semtie,1095,Erasmus MC,
969,Jonas Larsson,A5112464570,exact,I187531555,round4_semtie,154,Lund University,
970,Jennifer Irene Keiser,A5033452459,fuzzy,I158937107,round4_semtie,520,Swiss Tropical and Public Health Institute,
1024,Antoine Wystrach,A5061323512,exact,I1294671590,round4_semtie,88,Centre National de la Recherche Scientifique,
1069,Miguel Jorge Pinto Carneiro,A5022221670,fuzzy,,round4_semtie,116,"* BIOPOLIS (Portugal) [892844164,PT]",
1145,Andrea Manica,A5006178689,exact,I241749,round4_semtie,379,University of Cambridge,
1203,Clara Sanchez Rodriguez,A5083521633,exact,,round4_semtie,77,"* Spanish National Research Council (CSIC) [999991722,ES]",
1333,Simon Riche,A5005759805,exact,I198244214,round4_semtie,106,Université Clermont Auvergne,
1381,Victor Rotger Cerdà,A5061605235,fuzzy,,round4_semtie,4,"* Technical University of Catalonia [999976202,ES]",
1390,Sofia Olhede,A5094544762,exact,,round4_maxpapers,11,"* Swiss Federal Institute of Technology Lausanne (EPFL) [999973971,CH]",
1493,Ana Godinho Ferreira,A5039305073,fuzzy,I45129253,round4_semtie,179,University College London,
1542,David Torbjorn Emanuel Bastviken,A5078790493,fuzzy,,round4_semtie,363,"* University of Linkoeping [999852236,SE]",
1635,Magnus Jonsson,A5058883682,exact,,round4_semtie,81,"* University of Linkoeping [999852236,SE]",
1641,Feng Gao,A5100729278,exact,,round4_semtie,869,"* University of Linkoeping [999852236,SE]",
1649,Viviana Cavaliere,A5105786214,exact,,round4_semtie,8,"* University of Bologna [999993953,IT]",
1664,Franz Herzog,A5054539660,exact,I98677209,round4_semtie,165,University of Edinburgh,
1788,Marc Tobias Schumann,A5102951517,fuzzy,,round4_maxpapers,12,"* University of Freiburg [999841760,DE]",
1814,Giulia Manca,A5104754436,exact,,round4_semtie,11,"* University of Cagliari [999841663,IT]",
1817,James Matthew Drummond,A5001537398,fuzzy,,round4_semtie,125,"* University of Southampton [999975329,UK]",
1829,Shuang Zhang,A5100321581,exact,I79619799,round4_semtie,1050,University of Birmingham,
2015,Manuel Alain Bibes,A5016698882,fuzzy,,round4_maxpapers,1,"* National Centre for Scientific Research (CNRS) [999997930,FR]",
2087,Kevin Pagel,A5007527719,exact,I75951250,round4_semtie,211,Freie Universität Berlin,
2252,Paolo Arosio,A5001560379,exact,I35440088,round4_semtie,333,ETH Zurich,
2375,Serena Villata,A5016281730,exact,I1294671590,round4_semtie,270,Centre National de la Recherche Scientifique,
2452,Torsten Hoefler,A5026990786,exact,I35440088,round4_semtie,642,ETH Zurich,
2589,David Phillips,A5100692078,exact,,round4_semtie,447,"* University of Exeter [999864555,UK]",
2632,Fei Ding,A5004243536,exact,,round4_semtie,477,"* University of Hannover [999981828,DE]",
2669,Francois Andrieu,A5104440312,exact,I2738703131,round4_semtie,34,Commissariat à l'Énergie Atomique et aux Énergies Alternatives,
2807,Andreas Fischer,A5054687195,exact,I180437899,round4_semtie,653,University of Bremen,
2911,Francois Courvoisier,A5037973920,exact,I1294671590,round4_semtie,342,Centre National de la Recherche Scientifique,
2943,Alberto Guardone,A5028685995,exact,I93860229,round4_semtie,275,Politecnico di Milano,
2965,Ondrej Pejcha,A5048301562,exact,I21250087,round4_semtie,147,Charles University,
2995,Sebastiano Bernuzzi,A5036798137,exact,,round4_semtie,333,"* University of Jena [999868726,DE]",
2998,Akira Endo,A5036791785,exact,I98358874,round4_semtie,415,Delft University of Technology,
3039,Hans Kristian Eriksen,A5013812064,alias,I184942183,round4_semtie,160,University of Oslo,
3050,Pierre Beck,A5082819947,exact,I899635006,round4_semtie,420,Université Grenoble Alpes,
3059,Frank Heinz Postberg,A5010270936,fuzzy,I75951250,round4_semtie,424,Freie Universität Berlin,
3073,Frantz Martinache,A5024494164,exact,,round4_semtie,312,"* Cote d’Azur Observatory [991782030,FR]",
3144,Ghazala Azmat,A5087433849,exact,I205092303,round4_semtie,56,Institut d'Etudes Politiques de Paris,
3160,Ulrich Wagner,A5089763609,exact,,round4_maxpapers,271,"* University of Mannheim [999878135,DE]",
3178,Maria Libertad González Luna,A5102776436,fuzzy,I170486558,round4_maxpapers,104,Universitat Pompeu Fabra,
3268,Aoife Daly,A5086530124,exact,,round4_semtie,62,"* National University of Ireland - University College Cork [999975717,IE]",
3287,David Kosar,A5058353802,exact,,round4_semtie,161,"* Masaryk University Brno [999880657,CZ]",
3317,Niels Petersen,A5065018261,exact,I22465464,round4_semtie,208,University of Münster,
3435,Philipp Lersch,A5097279014,exact,,round4_maxpapers,1,"* German Institute for Economic Research [999508953,DE]",
3475,Roger Canals Vilageliu,A5089635816,fuzzy,,round4_semtie,4,"* University of Barcelona [999986387,ES]",
3559,Christiaan Vinkers,A5017312170,alias,,round4_semtie,700,"* Free University Medical Center Amsterdam (VUmc) [919322739,NL]",
3749,Susanne Knittel,A5099243280,exact,,round4_maxpapers,1,"* Utrecht University [999985805,NL]",
3788,Eva-Maria Troelenberg,A5084590851,exact,,round4_semtie,62,"* University of Duesseldorf [999856116,DE]",
3801,Andrea Cuomo,A5091518853,exact,,round4_maxpapers,8,"* Ghent University [999986096,BE]",
3820,Guido Alexander Orgs,A5001644598,fuzzy,,round4_maxpapers,67,"* University of London - Goldsmiths' College [999882791,UK]",
3833,Ljiljana Radonić,A5010244430,exact,,round4_maxpapers,68,"* Austrian Academy of Science (AAS) [999823912,AT]",
3837,Thomas Marcel Douglas,A5013479321,fuzzy,I40120149,round4_maxpapers,296,University of Oxford,
3867,Paula Sofia Hohti,A5051195778,fuzzy,,round4_maxpapers,7,"* Aalto University [991256096,FI]",
3869,Dirk Klaas Wilbert Van Miert,A5012631271,fuzzy,I193662353,round4_maxpapers,149,Utrecht University,
3871,Monika Salzbrunn,A5073286080,exact,I97565354,round4_semtie,174,University of Lausanne,
3874,Livia Holden,A5080897680,exact,I1294671590,round4_maxpapers,98,Centre National de la Recherche Scientifique,
3890,Maria Margarida De Sa Calafate Ribeiro,A5040523449,fuzzy,,round4_semtie,319,"* University of Coimbra - Centre for Social Studies [998333895,PT]",
3931,David Pretel,A5091248521,exact,,round4_semtie,47,"* Spanish National Research Council (CSIC) [999991722,ES]",
3974,Islam Dayeh,A5032940013,exact,,round4_maxpapers,23,"* Ghent University [999986096,BE]",
4022,Claire Zalc,A5014443416,exact,I1294671590,round4_semtie,206,Centre National de la Recherche Scientifique,
4025,M'Hamed Oualdi,A5099233190,exact,,round4_maxpapers,1,"* Sciences Po [999957869,FR]",
4046,Maria Fusaro,A5031068846,exact,I23923803,round4_semtie,92,University of Exeter,
4054,Guido Alfani,A5071387499,exact,,round4_semtie,235,"* Bocconi University Milan [999838850,IT]",
4084,Jose Antonio Iriarte Mugica,A5090527226,fuzzy,,round4_semtie,27,"* University of Exeter [999864555,UK]",
4100,Emanuele Campiglio,A5080543399,exact,I9360294,round4_semtie,56,University of Bologna,
4170,Jose Antonio Iriarte Mugica,A5066360389,fuzzy,,round4_semtie,6,"* University of Exeter [999864555,UK]",
4181,Joerg Carsten Widmer,A5064963698,fuzzy,,round4_maxpapers,376,"* IMDEA Networks Institute (Madrid Institute for Advanced Studies of Networks) [999651058,ES]",
4196,Jose Maria Martell Berrocal,A5038937908,fuzzy,,round4_semtie,173,"* Spanish National Research Council (CSIC) [999991722,ES]",
4207,Charles Agyemang,A5067202010,exact,,round4_semtie,471,"* Academic Medical Center of the University of Amsterdam [998732274,NL]",
4224, ,A5040188158,exact,,round4_semtie,9,"* University of Copenhagen [999991043,DK]",
4227,Michaël Philippe Weber,A5010500477,fuzzy,I1294671590,round4_semtie,118,Centre National de la Recherche Scientifique,
